,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"In My Feelings",Drake,1899576,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
2,"SICKO MODE","Travis Scott",1797646,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
3,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,1627700,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
4,"Lucid Dreams","Juice WRLD",1445638,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
5,STARGAZING,"Travis Scott",1201605,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
6,SAD!,XXXTENTACION,1077933,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
7,"No Brainer","DJ Khaled",1049799,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
8,"Taste (feat. Offset)",Tyga,984096,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
9,"Eastside (with Halsey & Khalid)","benny blanco",983332,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
10,Nonstop,Drake,978475,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
11,"I Like It","Cardi B",945897,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
12,"Better Now","Post Malone",934388,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
13,Moonlight,XXXTENTACION,893519,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
14,"Taking A Walk","Trippie Redd",868329,https://open.spotify.com/track/4mHgYpuGHu99Mw69E83CP2
15,"Girls Like You (feat. Cardi B)","Maroon 5",845848,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
16,"Barbie Dreams","Nicki Minaj",806679,https://open.spotify.com/track/6Poyf51k7W3NKnsGwAI90B
17,"Yes Indeed","Lil Baby",768612,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
18,"God is a woman","Ariana Grande",687048,https://open.spotify.com/track/7gkWXbAxIYuvtOpcN3p9GJ
19,YOSEMITE,"Travis Scott",686907,https://open.spotify.com/track/7lAK3oHbfEnvUQWosrMMpR
20,"Nice For What",Drake,677139,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw
21,Youngblood,"5 Seconds of Summer",662795,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
22,"Psycho (feat. Ty Dolla $ign)","Post Malone",646999,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
23,"God's Plan",Drake,642399,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
24,"All Girls Are The Same","Juice WRLD",619342,https://open.spotify.com/track/0XySogm94T51XF5F2jumXm
25,"Body (feat. brando)","Loud Luxury",605042,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
26,"Jocelyn Flores",XXXTENTACION,602160,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
27,CAROUSEL,"Travis Scott",589826,https://open.spotify.com/track/7KZ5MMVgBVox9ycroB2UrI
28,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",YG,589792,https://open.spotify.com/track/0ZNrc4kNeQYD9koZ3KvCsy
29,"Wasted (feat. Lil Uzi Vert)","Juice WRLD",570448,https://open.spotify.com/track/3obgSF06ki98lYNLNq5vCB
30,"Beautiful (feat. Camila Cabello)",Bazzi,563566,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
31,"Happy Now",Zedd,563505,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
32,"Jackie Chan",Tiësto,558708,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
33,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,550689,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
34,"WAKE UP","Travis Scott",548954,https://open.spotify.com/track/20MuVazoNMv6xjKPnRFOxG
35,changes,XXXTENTACION,541368,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
36,"Look Alive (feat. Drake)","BlocBoy JB",522622,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
37,"CAN'T SAY","Travis Scott",513941,https://open.spotify.com/track/27a1mYSG5tYg7dmEjWBcmL
38,"rockstar (feat. 21 Savage)","Post Malone",512305,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
39,"Lean Wit Me","Juice WRLD",509254,https://open.spotify.com/track/29tc0GbW0pTSBZSCZF3NWk
40,SWISH,Tyga,497098,https://open.spotify.com/track/55GiOwtxNajXVbpjjIzMnD
41,"BUTTERFLY EFFECT","Travis Scott",486407,https://open.spotify.com/track/6xcJyGpfZbuuiequtnlKt4
42,"NO BYSTANDERS","Travis Scott",480138,https://open.spotify.com/track/6OaVWaGfhXn70ZJfdVcabn
43,"I'm Upset",Drake,476620,https://open.spotify.com/track/3qN5qMTKyEEmiTZD38BNTT
44,"W O R K I N M E",Quavo,475834,https://open.spotify.com/track/33tNYw9oMtSkGe27NpgS64
45,"STOP TRYING TO BE GOD","Travis Scott",471706,https://open.spotify.com/track/1xYpVRspgaLxdJLOTQkTjg
46,"R.I.P. SCREW","Travis Scott",468324,https://open.spotify.com/track/4SZepBIPDRwPaHIjAKwRDb
47,"5% TINT","Travis Scott",448343,https://open.spotify.com/track/11kDth1aKUEUMq9r1pqyds
48,"I Fall Apart","Post Malone",445933,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
49,"Praise The Lord (Da Shine)","A$AP Rocky",442940,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
50,"Be Alright","Dean Lewis",433634,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
51,"Te Boté - Remix","Nio Garcia",428001,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
52,Rise,"Jonas Blue",427224,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
53,"you should see me in a crown","Billie Eilish",424178,https://open.spotify.com/track/6vsV4D8BM6PioRr1UOx0n2
54,"Bed (feat. Ariana Grande)","Nicki Minaj",419688,https://open.spotify.com/track/3L4GsGLgxpHieVQH86H8bv
55,"In My Mind",Dynoro,407044,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
56,Tequila,"Dan + Shay",400144,https://open.spotify.com/track/42fw0rxRO2xbesF6mJfd4Y
57,"lovely (with Khalid)","Billie Eilish",397951,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
58,"Don’t Matter To Me (with Michael Jackson)",Drake,396077,https://open.spotify.com/track/6G8kHiVZ1jW7vHMPVRNZU0
59,"no tears left to cry","Ariana Grande",395761,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
60,"Mob Ties",Drake,392314,https://open.spotify.com/track/7rC5Pl8rQSX4myONQHYPBK
61,"Mo Bamba","Sheck Wes",390590,https://open.spotify.com/track/3QybPutx0Tjk472bBKjNWn
62,"WHO? WHAT!","Travis Scott",387593,https://open.spotify.com/track/4KYS9GK68yeuUJ8vJfPxrq
63,"Love Lies (with Normani)",Khalid,387251,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
64,NC-17,"Travis Scott",385693,https://open.spotify.com/track/6BJbOXDlgVAXSaq6wYFYT2
65,"Shake It Up","Trippie Redd",385609,https://open.spotify.com/track/6yz0Jndhv0QjKdpcEMbOjz
66,"Everybody Dies In Their Nightmares",XXXTENTACION,385302,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
67,"I'm a Mess","Bebe Rexha",383316,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
68,"Ball For Me (feat. Nicki Minaj)","Post Malone",377490,https://open.spotify.com/track/6IaieqiCVvsNvEt6Y7yOFa
69,"Ric Flair Drip (& Metro Boomin)",Offset,377434,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
70,"High Hopes","Panic! At The Disco",374238,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
71,"Missing My Idols","Trippie Redd",373148,https://open.spotify.com/track/5HnxL39pSgVVQMLP7WnSfv
72,"Album of the Year - Freestyle","J. Cole",372381,https://open.spotify.com/track/6rDaCGqcQB1urhpCrrD599
73,"Solo (feat. Demi Lovato)","Clean Bandit",371033,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
74,"Plug Walk","Rich The Kid",368303,https://open.spotify.com/track/1ZAyjvIk9YiD76yYy0TEG6
75,"Majesty (feat. Eminem & Labrinth)","Nicki Minaj",364091,https://open.spotify.com/track/38TgLPNHsPzgqri5G4SPun
76,HOUSTONFORNICATION,"Travis Scott",363645,https://open.spotify.com/track/58TaFP5j5i9swOf584yon2
77,"All Mine","Kanye West",362844,https://open.spotify.com/track/3qnoOm4fwZPBS116f5hpgF
78,"Boo'd Up","Ella Mai",362380,https://open.spotify.com/track/0At2qAoaVjIwWNAqrscXli
79,Chun-Li,"Nicki Minaj",359102,https://open.spotify.com/track/1e4rwBPVI32vZtTJu7mJ4J
80,Natural,"Imagine Dragons",359071,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
81,"Rich Sex (feat. Lil Wayne)","Nicki Minaj",352936,https://open.spotify.com/track/2D1MK9oaxy7axXggy3iVbp
82,OTW,Khalid,350234,https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI
83,"Ocean (feat. Khalid)","Martin Garrix",349334,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
84,"XO TOUR Llif3","Lil Uzi Vert",348528,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
85,ASTROTHUNDER,"Travis Scott",347369,https://open.spotify.com/track/4MXhiYIRDMGAuvZc5IFTwC
86,"Chun Swae (feat. Swae Lee)","Nicki Minaj",344983,https://open.spotify.com/track/03It1uO69CjGWP3yyVe465
87,BANG!,"Trippie Redd",341134,https://open.spotify.com/track/1pF74yw15wXk12A1NPVWHD
88,"One Kiss (with Dua Lipa)","Calvin Harris",339072,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
89,Mine,Bazzi,338309,https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR
90,"Dark Knight Dummo","Trippie Redd",333212,https://open.spotify.com/track/4apiNNK0jp9uqn3JDG9My1
91,SKELETONS,"Travis Scott",333207,https://open.spotify.com/track/6NMtzpDQBTOfJwMzgMX0zl
92,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",331792,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e
93,"the remedy for a broken heart (why am I so in love)",XXXTENTACION,331541,https://open.spotify.com/track/4UKCKdYiLN6IMA5ZESUTL7
94,"Candy Paint","Post Malone",330798,https://open.spotify.com/track/32lItqlMi4LBhb4k0BaSaC
95,"Forever Ever","Trippie Redd",323243,https://open.spotify.com/track/2c3qwFINQyRGwyqI97UQiA
96,"Don't Leave Me Alone (feat. Anne-Marie)","David Guetta",322397,https://open.spotify.com/track/2lYTJK94hb0fd1LQtb6Dhk
97,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",321985,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
98,Hope,XXXTENTACION,320307,https://open.spotify.com/track/2ZRo7axmMPeSVUvDbGkJah
99,"Look At Me!",XXXTENTACION,319079,https://open.spotify.com/track/6eYxmK9fdL4hwLnXG2zY3s
100,"Hopeless Romantic (feat. Swae Lee)","Wiz Khalifa",316727,https://open.spotify.com/track/7IBSffWIu7P2MC7kMwy2FM
101,"Walk It Talk It",Migos,310347,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
102,JAPAN,"Famous Dex",308215,https://open.spotify.com/track/5PTG6rrL6EPFD9E2QMI2pl
103,Lust,"Lil Skies",307523,https://open.spotify.com/track/7oJrVhiTPZGBXWPwhxjy9S
104,"Wish - Trippie Mix",Diplo,302479,https://open.spotify.com/track/6IpvkngH89cA3hhPC84Leg
105,LLC,"Nicki Minaj",302423,https://open.spotify.com/track/7CKR3FcBqSsGcgce0ECe1z
106,"Tie Me Down (with Elley Duhé)",Gryffin,301833,https://open.spotify.com/track/4QVS8YCpK71R4FsxSMCjhP
107,"Born To Be Yours",Kygo,301003,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
108,"Ganja Burns","Nicki Minaj",298678,https://open.spotify.com/track/3LHYmz86DxGInsRp3wiiW5
109,Simple,"Florida Georgia Line",297015,https://open.spotify.com/track/4P92FrvmYQSAfOpp4cpFEi
