,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Better Now","Post Malone",3984003,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
2,"Girls Like You (feat. Cardi B)","Maroon 5",3587278,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
3,"Lucid Dreams","Juice WRLD",3555704,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc
4,"One Kiss (with Dua Lipa)","Calvin Harris",3528492,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
5,"I Like It","Cardi B",3516544,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
6,Youngblood,"5 Seconds of Summer",3177818,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
7,"Back To You","Selena Gomez",3122115,https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9
8,"no tears left to cry","Ariana Grande",2906822,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
9,"Solo (feat. Demi Lovato)","Clean Bandit",2816020,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
10,SAD!,XXXTENTACION,2802357,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
11,"Nice For What",Drake,2533235,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
12,"Te Boté - Remix","Nio Garcia",2476406,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
13,"Taste (feat. Offset)",Tyga,2363651,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
14,X,"Nicky Jam",2343581,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
15,"God's Plan",Drake,2308823,https://open.spotify.com/track/6T8cJz5lAqGer9GUHGyelE
16,"All Mine","Kanye West",2240423,https://open.spotify.com/track/3qnoOm4fwZPBS116f5hpgF
17,"Jackie Chan",Tiësto,2199636,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
18,"Psycho (feat. Ty Dolla $ign)","Post Malone",2172823,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
19,"lovely (with Khalid)","Billie Eilish",2009152,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
20,"Ocean (feat. Khalid)","Martin Garrix",1952761,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
21,"Jocelyn Flores",XXXTENTACION,1942220,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
22,FRIENDS,Marshmello,1907662,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
23,"Yes Indeed","Lil Baby",1864073,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
24,"I'm Upset",Drake,1860402,https://open.spotify.com/track/54oMZ3blwWwuPN4wEoG5mk
25,Flames,"David Guetta",1858171,https://open.spotify.com/track/33IOhptvC2Qoy2UhjiHXLV
26,Nevermind,"Dennis Lloyd",1788437,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
27,"rockstar (feat. 21 Savage)","Post Malone",1787024,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
28,"Bed (feat. Ariana Grande)","Nicki Minaj",1784654,https://open.spotify.com/track/1ZEm9cJC05rawV2tptNfTS
29,"Praise The Lord (Da Shine)","A$AP Rocky",1688644,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
30,2002,Anne-Marie,1679721,https://open.spotify.com/track/6SFStUDQZNaGPKWOx9ZiJB
31,"Sin Pijama","Becky G",1631996,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
32,"Born To Be Yours",Kygo,1613085,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
33,Moonlight,XXXTENTACION,1602381,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
34,"The Middle",Zedd,1571163,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
