,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"This Is America","Childish Gambino",4218689,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
2,"Better Now","Post Malone",3936630,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
3,"One Kiss (with Dua Lipa)","Calvin Harris",3620770,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
4,"Nice For What",Drake,3547376,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
5,"God's Plan",Drake,3344220,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
6,"no tears left to cry","Ariana Grande",3194120,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
7,"Psycho (feat. Ty Dolla $ign)","Post Malone",3111924,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
8,FRIENDS,Marshmello,2741138,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
9,X,"Nicky Jam",2629490,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
10,"I Like It","Cardi B",2404132,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
11,"Te Boté - Remix","Nio Garcia",2396174,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
12,"rockstar (feat. 21 Savage)","Post Malone",2363545,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
13,"The Middle",Zedd,2207834,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
14,"Freaky Friday (feat. Chris Brown)","Lil Dicky",2095318,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
15,"Love Lies (with Normani)",Khalid,1946073,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
16,Paranoid,"Post Malone",1900229,https://open.spotify.com/track/3fpVWegR6YOS1Yk5HSMYIq
17,"Look Alive (feat. Drake)","BlocBoy JB",1846561,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
18,"Call Out My Name","The Weeknd",1826206,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N
19,IDGAF,"Dua Lipa",1725311,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
20,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,1706605,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
21,Nevermind,"Dennis Lloyd",1686032,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
22,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",1614364,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
23,SAD!,XXXTENTACION,1556188,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
24,Flames,"David Guetta",1507051,https://open.spotify.com/track/33IOhptvC2Qoy2UhjiHXLV
25,Stay,"Post Malone",1488924,https://open.spotify.com/track/4H7WNRErSbONkM06blBoGc
26,"In My Blood","Shawn Mendes",1484122,https://open.spotify.com/track/79jX8RM5CgPqDKdGEKNW9K
27,"Me Niego",Reik,1469887,https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T
28,OTW,Khalid,1465688,https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI
29,"Spoil My Night (feat. Swae Lee)","Post Malone",1455414,https://open.spotify.com/track/5VuxWXbt7XENQCtE9TzpTv
30,"Remind Me to Forget",Kygo,1412075,https://open.spotify.com/track/6xTU6B6nFwKKTSZ9ySXS80
31,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",1411199,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
32,"Youth (feat. Khalid)","Shawn Mendes",1381662,https://open.spotify.com/track/3Wf2YGdYT8xVdNsQSoRKk9
33,Havana,"Camila Cabello",1373950,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
34,"All The Stars (with SZA)","Kendrick Lamar",1361079,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
35,Mine,Bazzi,1356275,https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR
36,"Rich & Sad","Post Malone",1350566,https://open.spotify.com/track/2VdT56BGpdqNHUgOe1j5vc
37,"Ball For Me (feat. Nicki Minaj)","Post Malone",1332506,https://open.spotify.com/track/6IaieqiCVvsNvEt6Y7yOFa
38,"Plug Walk","Rich The Kid",1288357,https://open.spotify.com/track/6mAz8D1TmlTuef90dbNIiZ
39,"Walk It Talk It",Migos,1285958,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
40,Youngblood,"5 Seconds of Summer",1267839,https://open.spotify.com/track/55S2PQgSMYAhgoTCcGCDfw
41,"Playinwitme (feat. Kehlani)",KYLE,1243231,https://open.spotify.com/track/43cFjTTCD9Cni4aSL0sORz
42,"Candy Paint","Post Malone",1209756,https://open.spotify.com/track/32lItqlMi4LBhb4k0BaSaC
43,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","Sofia Reyes",1195794,https://open.spotify.com/track/4QtiVmuA88tPQiCOHZuQ5b
44,"Shape of You","Ed Sheeran",1187296,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
45,Dura,"Daddy Yankee",1174290,https://open.spotify.com/track/2j2fIJGh4PMdXt9ULI5Tlc
46,"Watch (feat. Lil Uzi Vert & Kanye West)","Travis Scott",1167935,https://open.spotify.com/track/3DoBTwfr8yi2LN08SBpFkN
47,"Like I Do","David Guetta",1154781,https://open.spotify.com/track/6RnkFd8Fqqgk1Uni8RgqCQ
48,KOD,"J. Cole",1151967,https://open.spotify.com/track/7yotKA30dwTKNEGomV9ZsI
49,2002,Anne-Marie,1143787,https://open.spotify.com/track/6SFStUDQZNaGPKWOx9ZiJB
50,"Over Now","Post Malone",1143369,https://open.spotify.com/track/09IOPhEh1OMe0HD9b36FJk
51,"New Rules","Dua Lipa",1090527,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
52,Toy,Netta,1031854,https://open.spotify.com/track/7vuTcvFnvlqWlWb4u60nvY
53,"Zack And Codeine","Post Malone",1016202,https://open.spotify.com/track/5lZZmityu9TAjNvSY6GLhR
54,"Síguelo Bailando",Ozuna,1012831,https://open.spotify.com/track/5Y9fnynLlIvqtM710MHzfz
55,JAPAN,"Famous Dex",1012535,https://open.spotify.com/track/5PTG6rrL6EPFD9E2QMI2pl
56,"Powerglide (feat. Juicy J) - From SR3MM","Rae Sremmurd",1011951,https://open.spotify.com/track/1BuZAIO8WZpavWVbbq3Lci
57,"Ric Flair Drip (& Metro Boomin)",Offset,1011204,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
58,"Échame La Culpa","Luis Fonsi",1008538,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK
59,Perfect,"Ed Sheeran",1008287,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
60,"Dura - Remix","Daddy Yankee",1008164,https://open.spotify.com/track/6U2NuJILEOEpW2tVCuqKHb
61,Familiar,"Liam Payne",986275,https://open.spotify.com/track/0Y4hwUppbGc8aIBmiTz30A
62,"92 Explorer","Post Malone",982413,https://open.spotify.com/track/1D2L6MefbXon28PzIk9I3r
63,"Same Bitches (feat. G-Eazy & YG)","Post Malone",978643,https://open.spotify.com/track/688QpQAwqsLdBR6lr13wK1
64,"I Fall Apart","Post Malone",975965,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
65,"Mad Love","Sean Paul",974278,https://open.spotify.com/track/3soOPBuMK8YMdWnV7xpEyf
66,"Let Me",ZAYN,939344,https://open.spotify.com/track/7Fg342AJtNsIDdwCfX0paC
67,"Wake Me Up - Radio Edit",Avicii,933636,https://open.spotify.com/track/6g1NlCpW7fgqDnWbCCDrHl
68,"Takin' Shots","Post Malone",925478,https://open.spotify.com/track/5ffntNJnJOeFv7b7DCd0Bw
69,"El Préstamo",Maluma,918211,https://open.spotify.com/track/0QS5rZpm5zN9wV9lJgjyUE
70,"Déjala Que Vuelva (feat. Manuel Turizo)","Piso 21",916927,https://open.spotify.com/track/1j6xOGusnyXq3l6IryKF3G
71,"Four Out Of Five","Arctic Monkeys",901386,https://open.spotify.com/track/5Z5nbOXhsSbySVC7WUc6y9
72,"Girls (feat. Cardi B, Bebe Rexha & Charli XCX)","Rita Ora",892035,https://open.spotify.com/track/1YNQscOx6OqBQjxgJVhEeW
