,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"In My Feelings",Drake,9037738,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
2,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,3954034,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
3,"I Like It","Cardi B",3826286,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
4,"Girls Like You (feat. Cardi B)","Maroon 5",3822955,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
5,"Taste (feat. Offset)",Tyga,3498648,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
6,"Lucid Dreams","Juice WRLD",3480208,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
7,"God is a woman","Ariana Grande",3434343,https://open.spotify.com/track/7gkWXbAxIYuvtOpcN3p9GJ
8,"Solo (feat. Demi Lovato)","Clean Bandit",3400026,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
9,SAD!,XXXTENTACION,3309664,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
10,"Better Now","Post Malone",3093384,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
11,"Jackie Chan",Tiësto,3023027,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
12,"One Kiss (with Dua Lipa)","Calvin Harris",3020582,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
13,Rise,"Jonas Blue",2990186,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
14,Youngblood,"5 Seconds of Summer",2859349,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
15,"Don’t Matter To Me (with Michael Jackson)",Drake,2645187,https://open.spotify.com/track/6G8kHiVZ1jW7vHMPVRNZU0
16,"Eastside (with Halsey & Khalid)","benny blanco",2616094,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
17,"Te Boté - Remix","Nio Garcia",2405262,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
18,Moonlight,XXXTENTACION,2323011,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
19,Nonstop,Drake,2299935,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
20,"God's Plan",Drake,2250606,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
21,"Ocean (feat. Khalid)","Martin Garrix",2167608,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
22,"Nice For What",Drake,2100984,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw
23,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",2096639,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
24,"Sin Pijama","Becky G",2083429,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
25,Body,"Loud Luxury",2029863,https://open.spotify.com/track/43V1z6QToNNWNldV4FEG6r
26,2002,Anne-Marie,1963958,https://open.spotify.com/track/6SFStUDQZNaGPKWOx9ZiJB
27,"Born To Be Yours",Kygo,1881332,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
28,"no tears left to cry","Ariana Grande",1849335,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
29,"In My Mind",Dynoro,1803198,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
30,Nevermind,"Dennis Lloyd",1769678,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
31,changes,XXXTENTACION,1709897,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
32,"Jocelyn Flores",XXXTENTACION,1693738,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
33,"No Es Justo","J Balvin",1671051,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7
34,"X - Remix","Nicky Jam",1655925,https://open.spotify.com/track/6JjPBQfI2Y8nIjnm65X6Pw
35,"Vaina Loca",Ozuna,1645072,https://open.spotify.com/track/1s2B5cndbqK8rPJEIcKJRQ
36,"Psycho (feat. Ty Dolla $ign)","Post Malone",1630508,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
37,"rockstar (feat. 21 Savage)","Post Malone",1612370,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
38,"Praise The Lord (Da Shine)","A$AP Rocky",1564504,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
39,"Summertime Magic","Childish Gambino",1516047,https://open.spotify.com/track/4j3GWI86JvSaF0BLdmgcfF
40,X,"Nicky Jam",1503095,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
41,"La Cintura","Alvaro Soler",1490367,https://open.spotify.com/track/19MBk3PbNFE36wqIqkMq9H
42,FRIENDS,Marshmello,1477397,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
43,"The Middle",Zedd,1448924,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
44,"Bed (feat. Ariana Grande)","Nicki Minaj",1448315,https://open.spotify.com/track/1ZEm9cJC05rawV2tptNfTS
