,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"In My Feelings",Drake,8829012,https://open.spotify.com/track/0bAkKNCQfWkexHFn7fIKns
2,"Don’t Matter To Me",Drake,3719250,https://open.spotify.com/track/36ONiya0OANYknz0GgJmwB
3,"Girls Like You (feat. Cardi B)","Maroon 5",3640503,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
4,"God is a woman","Ariana Grande",3552188,https://open.spotify.com/track/7gkWXbAxIYuvtOpcN3p9GJ
5,"I Like It","Cardi B",3482293,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
6,"Lucid Dreams","Juice WRLD",3400703,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
7,SAD!,XXXTENTACION,3324029,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
8,Nonstop,Drake,3143176,https://open.spotify.com/track/2Vx8E3K5icPZR7OCklWBXX
9,"Taste (feat. Offset)",Tyga,3057802,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
10,"One Kiss (with Dua Lipa)","Calvin Harris",3004850,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
11,"Better Now","Post Malone",2976279,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
12,"Solo (feat. Demi Lovato)","Clean Bandit",2919303,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
13,"Jackie Chan",Tiësto,2626979,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
14,Youngblood,"5 Seconds of Summer",2598242,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
15,"Te Boté - Remix","Nio Garcia",2351841,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
16,"God's Plan",Drake,2332854,https://open.spotify.com/track/2VWbHHhWnMzKWPUs4IEEW9
17,"Ocean (feat. Khalid)","Martin Garrix",2322998,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
18,"Nice For What",Drake,2318649,https://open.spotify.com/track/0HVv5bEOiI9a0QfgcASXpX
19,Moonlight,XXXTENTACION,2296993,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
20,Rise,"Jonas Blue",2154874,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
21,"Back To You","Selena Gomez",2110263,https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9
22,"no tears left to cry","Ariana Grande",2096726,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
23,"Summertime Magic","Childish Gambino",2017077,https://open.spotify.com/track/4j3GWI86JvSaF0BLdmgcfF
24,"Sin Pijama","Becky G",1910319,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
25,"Bed (feat. Ariana Grande)","Nicki Minaj",1729452,https://open.spotify.com/track/1ZEm9cJC05rawV2tptNfTS
26,changes,XXXTENTACION,1713916,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
27,"I'm Upset",Drake,1705593,https://open.spotify.com/track/1iSZPndzmY6NvL1jAtIvY1
28,"Jocelyn Flores",XXXTENTACION,1659525,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
29,"Born To Be Yours",Kygo,1635542,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
30,X,"Nicky Jam",1614482,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
31,2002,Anne-Marie,1589049,https://open.spotify.com/track/6SFStUDQZNaGPKWOx9ZiJB
32,Nevermind,"Dennis Lloyd",1570460,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
33,"Psycho (feat. Ty Dolla $ign)","Post Malone",1541648,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
34,APESHIT,"The Carters",1485717,https://open.spotify.com/track/0E6PsO3ymCfUh7pJQjBgkj
35,Body,"Loud Luxury",1483561,https://open.spotify.com/track/43V1z6QToNNWNldV4FEG6r
36,"rockstar (feat. 21 Savage)","Post Malone",1464769,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
37,"X - Remix","Nicky Jam",1458540,https://open.spotify.com/track/6JjPBQfI2Y8nIjnm65X6Pw
38,"Yes Indeed","Lil Baby",1403516,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
39,"No Es Justo","J Balvin",1399536,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7
40,"Praise The Lord (Da Shine)","A$AP Rocky",1384896,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
41,"Mob Ties",Drake,1384606,https://open.spotify.com/track/7txPE73wHbuXYkM1h8zNrG
42,FRIENDS,Marshmello,1362542,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
43,Flames,"David Guetta",1304061,https://open.spotify.com/track/33IOhptvC2Qoy2UhjiHXLV
44,"La Cintura","Alvaro Soler",1290883,https://open.spotify.com/track/19MBk3PbNFE36wqIqkMq9H
45,"The Middle",Zedd,1256403,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
46,"lovely (with Khalid)","Billie Eilish",1242995,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
47,"Shape of You","Ed Sheeran",1242613,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
48,"Look Alive (feat. Drake)","BlocBoy JB",1240867,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
49,"Me Niego",Reik,1221055,https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T
50,"Vaina Loca",Ozuna,1217236,https://open.spotify.com/track/1s2B5cndbqK8rPJEIcKJRQ
51,"Mi Cama","Karol G",1199318,https://open.spotify.com/track/7sFYVcKSb24qg0dAkqLEFj
52,"Eastside (with Halsey & Khalid)","benny blanco",1195011,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
53,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,1109004,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
54,IDGAF,"Dua Lipa",1096340,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
55,Havana,"Camila Cabello",1074247,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
56,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","Sofia Reyes",1067600,https://open.spotify.com/track/4QtiVmuA88tPQiCOHZuQ5b
57,"La Player (Bandolera)","Zion & Lennox",1054050,https://open.spotify.com/track/0VKkyBKCXyR99navhVRqcP
58,"Boo'd Up","Ella Mai",1044666,https://open.spotify.com/track/0At2qAoaVjIwWNAqrscXli
59,Emotionless,Drake,1040634,https://open.spotify.com/track/1v1IXPXl73Z7zy6f5tUa9n
60,Unica,Ozuna,1016193,https://open.spotify.com/track/6752EZMgXswvRBH3N2PilO
61,"Dura - Remix","Daddy Yankee",1010689,https://open.spotify.com/track/6U2NuJILEOEpW2tVCuqKHb
62,"All Mine","Kanye West",1010589,https://open.spotify.com/track/3qnoOm4fwZPBS116f5hpgF
63,"New Rules","Dua Lipa",988594,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
64,"All Girls Are The Same","Juice WRLD",986720,https://open.spotify.com/track/0XySogm94T51XF5F2jumXm
65,Clandestino,Shakira,954765,https://open.spotify.com/track/7DrluKkTviBwCc8AV3VGmf
66,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,951315,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
67,"If You're Over Me","Years & Years",950061,https://open.spotify.com/track/1oc3jna2ablnfIKLYbKujl
68,"This Is America","Childish Gambino",926767,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
69,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",925304,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e
70,"Love Lies (with Normani)",Khalid,919510,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
71,"Everybody Dies In Their Nightmares",XXXTENTACION,917143,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
72,Jumpsuit,"Twenty One Pilots",915055,https://open.spotify.com/track/6cQnrSlTxhHCCiUpKrs7g3
73,"Madura (feat. Bad Bunny)",Cosculluela,912935,https://open.spotify.com/track/0r9d60ZYPAlFHq8qnUtkXN
74,Elevate,Drake,900141,https://open.spotify.com/track/4uloft7ZE54WflsuqFmjC7
75,"Playinwitme (feat. Kehlani)",KYLE,897780,https://open.spotify.com/track/4F1yvJfQ7gJkrcgFJQDjOr
76,"High Hopes","Panic! At The Disco",893817,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
77,"Look At Me!",XXXTENTACION,889645,https://open.spotify.com/track/6eYxmK9fdL4hwLnXG2zY3s
78,Mine,Bazzi,885494,https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR
79,Believer,"Imagine Dragons",884914,https://open.spotify.com/track/5VKSZDsidOFHrtlJb33Syo
80,OTW,Khalid,866652,https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI
81,"Hopeless Romantic (feat. Swae Lee)","Wiz Khalifa",862110,https://open.spotify.com/track/7IBSffWIu7P2MC7kMwy2FM
82,Perfect,"Ed Sheeran",853952,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
83,"Can’t Take A Joke",Drake,844032,https://open.spotify.com/track/7cfvP13Bqb1EyCZQiYsLum
84,Thunder,"Imagine Dragons",834726,https://open.spotify.com/track/7BrsBU0BAytRDvROM4yCbn
85,"Por Perro","Sebastian Yatra",832023,https://open.spotify.com/track/2alIsNw1mqEShbWyO1HXZZ
86,"In My Mind",Dynoro,820963,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
87,"the remedy for a broken heart (why am I so in love)",XXXTENTACION,813357,https://open.spotify.com/track/4UKCKdYiLN6IMA5ZESUTL7
88,"Ball For Me (feat. Nicki Minaj)","Post Malone",812111,https://open.spotify.com/track/6IaieqiCVvsNvEt6Y7yOFa
89,"Nico And The Niners","Twenty One Pilots",806451,https://open.spotify.com/track/6ZIuit0z4eQg77F1RGkp0L
90,"Wasted (feat. Lil Uzi Vert)","Juice WRLD",805401,https://open.spotify.com/track/3obgSF06ki98lYNLNq5vCB
91,"Estamos Bien","Street Rappers",804776,https://open.spotify.com/track/1gng5xQBiYCVDkHS0IKLyk
92,"I'm a Mess","Bebe Rexha",800614,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
93,"Walk It Talk It",Migos,794123,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
94,"In My Blood","Shawn Mendes",793962,https://open.spotify.com/track/21YnmkSDhUkmkkni22Svc4
95,Asesina,Brytiago,782796,https://open.spotify.com/track/6rbhaJsE4uLzpPf8WYSHDK
96,Shotgun,"George Ezra",780650,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
97,"Live It Up - Official Song 2018 FIFA World Cup Russia","Nicky Jam",775269,https://open.spotify.com/track/4DnHUy01jEA4b5ydC3HgsT
98,"Plug Walk","Rich The Kid",769638,https://open.spotify.com/track/6mAz8D1TmlTuef90dbNIiZ
99,"Freaky Friday (feat. Chris Brown)","Lil Dicky",768562,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
100,"Bella - Remix",Wolfine,762335,https://open.spotify.com/track/0SaYeGhSXN0dDWstyNTQ56
101,"I Fall Apart","Post Malone",759899,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
102,"New Light","John Mayer",755428,https://open.spotify.com/track/3bH4HzoZZFq8UpZmI2AMgV
103,"Only You (with Little Mix)","Cheat Codes",750653,https://open.spotify.com/track/54l9GJGQ1UCFKe2tzt1Vxt
104,"Audio - with Sia, Diplo & Labrinth",Sia,742153,https://open.spotify.com/track/7boPPE857KEqCIHNwFkDop
105,"XO TOUR Llif3","Lil Uzi Vert",741727,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
106,"ocean eyes","Billie Eilish",725725,https://open.spotify.com/track/7hDVYcQq6MxkdJGweuCtl9
107,"Too Good At Goodbyes","Sam Smith",715022,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
108,Dura,"Daddy Yankee",713788,https://open.spotify.com/track/6KuqAtoeVzxAYOaMveLNpH
109,"Call Out My Name","The Weeknd",713611,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N
110,"I'm Yours","Jason Mraz",706449,https://open.spotify.com/track/3S0OXQeoh0w6AY8WQVckRW
111,"Ric Flair Drip (& Metro Boomin)",Offset,705172,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
112,"DDU-DU DDU-DU - KR Ver.",BLACKPINK,704697,https://open.spotify.com/track/2CWnuF7ht55Ajyeg4WPvWu
113,"El Préstamo",Maluma,701984,https://open.spotify.com/track/2XVilv6s9GETnw9PG4T9Mz
