,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Better Now","Post Malone",4341916,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
2,"One Kiss (with Dua Lipa)","Calvin Harris",4252908,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
3,"Nice For What",Drake,3789153,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
4,"God's Plan",Drake,3210433,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
5,"no tears left to cry","Ariana Grande",3198498,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
6,"I Like It","Cardi B",3021289,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
7,"This Is America","Childish Gambino",2989764,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
8,X,"Nicky Jam",2780479,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
9,"Te Boté - Remix","Nio Garcia",2777034,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
10,"Psycho (feat. Ty Dolla $ign)","Post Malone",2638245,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
11,"Back To You","Selena Gomez",2611355,https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9
12,FRIENDS,Marshmello,2567548,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
13,"I'm Upset",Drake,2470920,https://open.spotify.com/track/54oMZ3blwWwuPN4wEoG5mk
14,"Yes Indeed","Lil Baby",2407615,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
15,"Lucid Dreams","Juice WRLD",2378529,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc
16,Youngblood,"5 Seconds of Summer",2214082,https://open.spotify.com/track/55S2PQgSMYAhgoTCcGCDfw
17,"In My Blood","Shawn Mendes",2211193,https://open.spotify.com/track/21YnmkSDhUkmkkni22Svc4
18,"Love Lies (with Normani)",Khalid,2170294,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
19,"rockstar (feat. 21 Savage)","Post Malone",2148852,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
20,Nevermind,"Dennis Lloyd",2060275,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
21,"The Middle",Zedd,2051399,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
22,Flames,"David Guetta",2018943,https://open.spotify.com/track/33IOhptvC2Qoy2UhjiHXLV
23,IDGAF,"Dua Lipa",1977832,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
24,"Look Alive (feat. Drake)","BlocBoy JB",1938448,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
25,"Youth feat. Khalid","Shawn Mendes",1898184,https://open.spotify.com/track/5SwEgzUFDHwpWHKrbnP32Z
26,"Solo (feat. Demi Lovato)","Clean Bandit",1844123,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
27,"Freaky Friday (feat. Chris Brown)","Lil Dicky",1825966,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
28,"Praise The Lord (Da Shine)","A$AP Rocky",1765812,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
29,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,1732886,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
30,"Call Out My Name","The Weeknd",1720817,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N
31,"lovely (with Khalid)","Billie Eilish",1709439,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
32,"Playinwitme (feat. Kehlani)",KYLE,1672105,https://open.spotify.com/track/4F1yvJfQ7gJkrcgFJQDjOr
33,2002,Anne-Marie,1671017,https://open.spotify.com/track/6SFStUDQZNaGPKWOx9ZiJB
34,OTW,Khalid,1645048,https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI
35,"Me Niego",Reik,1608721,https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T
36,Nervous,"Shawn Mendes",1597926,https://open.spotify.com/track/0Dq49j3dELbttQVUJbtn0c
37,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",1552375,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
38,"Remind Me to Forget",Kygo,1550064,https://open.spotify.com/track/6xTU6B6nFwKKTSZ9ySXS80
39,"FAKE LOVE",BTS,1532786,https://open.spotify.com/track/3aW0ds4A4tSQDIp75FqWTo
40,"Sin Pijama","Becky G",1496264,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
41,Paranoid,"Post Malone",1454705,https://open.spotify.com/track/3fpVWegR6YOS1Yk5HSMYIq
42,Havana,"Camila Cabello",1449293,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
43,SAD!,XXXTENTACION,1441366,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
44,"All The Stars (with SZA)","Kendrick Lamar",1400363,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
45,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","Sofia Reyes",1383348,https://open.spotify.com/track/4QtiVmuA88tPQiCOHZuQ5b
46,"New Rules","Dua Lipa",1368620,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
47,"Walk It Talk It",Migos,1324872,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
48,"Shape of You","Ed Sheeran",1321027,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
49,Mine,Bazzi,1303211,https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR
50,TATI,6ix9ine,1268278,https://open.spotify.com/track/6kp0inxIexxSiDJfWqq0ZL
51,"Ball For Me (feat. Nicki Minaj)","Post Malone",1251786,https://open.spotify.com/track/6IaieqiCVvsNvEt6Y7yOFa
52,"Plug Walk","Rich The Kid",1229909,https://open.spotify.com/track/6mAz8D1TmlTuef90dbNIiZ
53,"Taste (feat. Offset)",Tyga,1225413,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
54,"Dura - Remix","Daddy Yankee",1200316,https://open.spotify.com/track/6U2NuJILEOEpW2tVCuqKHb
55,"Jackie Chan",Tiësto,1198251,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
56,"All Girls Are The Same","Juice WRLD",1154344,https://open.spotify.com/track/3H2JThgdBxezwj1wwafQS8
57,"Ric Flair Drip (& Metro Boomin)",Offset,1148055,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
58,"Like I Do","David Guetta",1143906,https://open.spotify.com/track/6RnkFd8Fqqgk1Uni8RgqCQ
59,Somebody,"The Chainsmokers",1116690,https://open.spotify.com/track/3pWcj8hxj3fsb9TDAcMpEl
60,"Powerglide (feat. Juicy J) - From SR3MM","Rae Sremmurd",1097117,https://open.spotify.com/track/1BuZAIO8WZpavWVbbq3Lci
61,"Spoil My Night (feat. Swae Lee)","Post Malone",1089078,https://open.spotify.com/track/5VuxWXbt7XENQCtE9TzpTv
62,"Síguelo Bailando",Ozuna,1085449,https://open.spotify.com/track/5Y9fnynLlIvqtM710MHzfz
63,"El Préstamo",Maluma,1076414,https://open.spotify.com/track/2XVilv6s9GETnw9PG4T9Mz
64,Dura,"Daddy Yankee",1072285,https://open.spotify.com/track/2j2fIJGh4PMdXt9ULI5Tlc
65,Stay,"Post Malone",1070698,https://open.spotify.com/track/4H7WNRErSbONkM06blBoGc
66,Familiar,"Liam Payne",1066283,https://open.spotify.com/track/0Y4hwUppbGc8aIBmiTz30A
67,"La Player (Bandolera)","Zion & Lennox",1064868,https://open.spotify.com/track/0VKkyBKCXyR99navhVRqcP
68,Perfect,"Ed Sheeran",1057808,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
69,"New Light","John Mayer",1052979,https://open.spotify.com/track/3bH4HzoZZFq8UpZmI2AMgV
70,"I Fall Apart","Post Malone",1045362,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
71,"Échame La Culpa","Luis Fonsi",994873,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK
