Position,"Track Name",Artist,URL
1,"Despacito - Remix","Luis Fonsi",https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
2,"Turn off the Lights","Ghost Nation",https://open.spotify.com/track/6l7xW5ExW24Tp50ooY5sbT
3,"The Night We Met","Lord Huron",https://open.spotify.com/track/6mORGLOz79w6VsCRLWYYuK
4,"Kill Jill","Big Boi",https://open.spotify.com/track/0rU1aBF8cQ8xS3H25qWuMz
5,"Guardians Inferno - From ""Guardians of the Galaxy Vol. 2""","The Sneepers",https://open.spotify.com/track/2AY2gnEHnAKwR6nAfdG0Zq
6,"Killing Moon","Roman Remains",https://open.spotify.com/track/6oXAFRQx2GHOEG2oYSKRjR
7,"Lust for Life (with The Weeknd)","Lana Del Rey",https://open.spotify.com/track/5LYQSNHZxEA880URXFHg6h
8,Unforgettable,"French Montana",https://open.spotify.com/track/1F2HXIJrE2Xn81OzT2zZvW
9,"Hard Times",Paramore,https://open.spotify.com/track/5hHudNsfZXmdgefWxAX2LG
10,Pleaser,Wallows,https://open.spotify.com/track/2TUobOYiSgR7XHBrFTQLZn
11,"Felices los 4",Maluma,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn
12,"Fy Faen",Hkeem,https://open.spotify.com/track/6EcTjceNc3WhEqrWzXIFwA
13,"LOVE. FEAT. ZACARI.","Kendrick Lamar",https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As
14,"Sign of the Times","Harry Styles",https://open.spotify.com/track/5ELRkzdzz0HvGpMDlfZHkV
15,Attention,"Charlie Puth",https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
16,"The Cure","Lady Gaga",https://open.spotify.com/track/51PIvodunv6NmX5250zxAh
17,DNA.,"Kendrick Lamar",https://open.spotify.com/track/6HZILIRieu8S0iqY8kIKhj
18,Báilame,Nacho,https://open.spotify.com/track/7lRsNbdOGykkMAgsqs4R1C
19,Changed,"JP Saxe",https://open.spotify.com/track/0d9PbHaIlNHYqnizRF1odR
20,"Sound of Walking Away",Illenium,https://open.spotify.com/track/3t3oNm7M0HXf7ILqA7vCTP
21,"Mic Jack","Big Boi",https://open.spotify.com/track/2YR88sU0GLwoacGQploIFG
22,"East Atlanta Day",Zaytoven,https://open.spotify.com/track/0nB1Hb5mAzBiEehZE2B2yn
23,HUMBLE.,"Kendrick Lamar",https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
24,"There's Nothing Holdin' Me Back","Shawn Mendes",https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
25,"do re mi",Blackbear,https://open.spotify.com/track/6CUBgX8bXC5YQCkdgRHqyg
26,Magnolia,"Playboi Carti",https://open.spotify.com/track/1e1JKLEDKP7hEQzJfNAgPl
27,"Palette (Feat. G-DRAGON)",IU,https://open.spotify.com/track/3y7ByLZ05tluscOTRgEJ9Y
28,"Nights With You",MØ,https://open.spotify.com/track/5q5gzmbBS5yQzos2BvVr1t
29,"LOYALTY. FEAT. RIHANNA.","Kendrick Lamar",https://open.spotify.com/track/6SwRhMLwNqEi6alNPVG00n
30,wokeuplikethis*,"Playboi Carti",https://open.spotify.com/track/59J5nzL1KniFHnU120dQzt
31,"Una Lady Como Tú","Manuel Turizo",https://open.spotify.com/track/7MHN1aCFtLXjownGhvEQlF
32,"Me Rehúso","Danny Ocean",https://open.spotify.com/track/6Zosz8w6CmdGMZM6p4JlbQ
33,"Whippin (feat. Felix Snow)",Kiiara,https://open.spotify.com/track/3QWjljChcOMkRDYSzF33Qr
34,BOOM,Tiësto,https://open.spotify.com/track/7Mq3vRtwjRdDTxpQXrS8k6
35,"XO TOUR Llif3","Lil Uzi Vert",https://open.spotify.com/track/2eMwDehkIC1j68U6FA3Eiq
36,"Ahora Dice","Chris Jeday",https://open.spotify.com/track/22eADXu8DfOAUEDw4vU8qy
37,Fica,ANAVITÓRIA,https://open.spotify.com/track/0lwrkYbCwtAWTI0OIWEnd6
38,"Lake Shore Drive","Aliotta Haynes Jeremiah",https://open.spotify.com/track/46MX86XQqYCZRvwPpeq4Gi
39,"Open The Tcheka","MC Lan",https://open.spotify.com/track/77TElJdpImw8cSv6t4mCIr
40,"Pretty Girl - Cheat Codes X CADE Remix","Maggie Lindemann",https://open.spotify.com/track/39IsH7B5byx8NRlEKlZVg9
41,"Systematic (feat. Nas)","DJ Shadow",https://open.spotify.com/track/4QNYup8agiVGw8CRge3xfG
42,"Reminding Me","Shawn Hook",https://open.spotify.com/track/7DQXiMeLqiQsy1uqHSk0xc
43,"Saturnz Barz (feat. Popcaan)",Gorillaz,https://open.spotify.com/track/7l9CE3wmEGOUYw1j4ETjnL
44,"Mask Off",Future,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
45,"Now Or Never",Halsey,https://open.spotify.com/track/1mDGDb2fUmUMdqV3tb8VKQ
46,"Vai Embrazando","Mc Zaac",https://open.spotify.com/track/1zhfU6YXa2pXUAQdG1NvBZ
47,"Ascension (feat. Vince Staples)",Gorillaz,https://open.spotify.com/track/2bBMODHVTXGwE2aZYfbgCt
48,"Karjala Takas","Portion Boys",https://open.spotify.com/track/1PZNjZOmm3ZmaWkqvmJpaY
49,"Black SpiderMan",Logic,https://open.spotify.com/track/0lSFDvmV2HZqrtVtneT3no
50,"Drowning (feat. Kodak Black)","A Boogie Wit da Hoodie",https://open.spotify.com/track/3LnOF5n1GOs01siYZXzS3p
