Position,"Track Name",Artist,URL
1,"Will He",Joji,https://open.spotify.com/track/6i3K9JRY0Bc6kZZeyMuikL
2,"The Doomed","A Perfect Circle",https://open.spotify.com/track/54RaEDwHbCJKMdDq68EyKE
3,Gorgeous,"Taylor Swift",https://open.spotify.com/track/0CLnkxpa3M4eA3HeGaERat
4,"Sleep Talking","Charlotte Lawrence",https://open.spotify.com/track/0bOH2yZkaVSg2OdegIlp2J
5,"Notes pour trop tard (feat. Ibeyi)",Orelsan,https://open.spotify.com/track/3SgnYOV9ONL0bIHaAcOYE1
6,"Défaite de famille",Orelsan,https://open.spotify.com/track/0IvTKTST66tq30ZeFWeqfm
7,"Let You Down",NF,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr
8,"PICK IT UP (feat. A$AP Rocky)","Famous Dex",https://open.spotify.com/track/3ncgNpxLoBQ65ABk4djDyd
9,"Little Dark Age",MGMT,https://open.spotify.com/track/7pWUwNDBL7J0eMAUi2gPb3
10,rockstar,"Post Malone",https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx
11,"Rainbows & Waterfalls","Pretty Lights",https://open.spotify.com/track/4bJbr3OZKvkFx57s2BIu8V
12,"Man's Not Hot","Big Shaq",https://open.spotify.com/track/2nUJvBO87SkxCViQsLc9Zr
13,San,Orelsan,https://open.spotify.com/track/36SHbxigbf4iSCHdQVgy6V
14,Millionaire,"Chris Stapleton",https://open.spotify.com/track/78kGuAEnJir0iVVIZKEuun
15,Paradis,Orelsan,https://open.spotify.com/track/3qWNgvQTzSbA67Z4r0mX9O
16,"To The Moon And Back - Edit","Fever Ray",https://open.spotify.com/track/77z77PUHMoMQdUB6HDfJtx
17,"Deserve (feat. Travis Scott)","Kris Wu",https://open.spotify.com/track/5075foWfaIxJZr3hGMopXO
18,"Kids in Love",Kygo,https://open.spotify.com/track/2UxfcZJCphbEkfbZ6nLiDx
19,"Zone (feat. Nekfeu & Dizzee Rascal)",Orelsan,https://open.spotify.com/track/1Tx2jZNOvlrj20ctkCg8vR
20,"La pluie (feat. Stromae)",Orelsan,https://open.spotify.com/track/4cYFep5SECqb4EsSkF82e0
21,"Bedroom Floor","Liam Payne",https://open.spotify.com/track/1pZdegOXTZ2ftINo3oUuRZ
22,"You & Me",Marshmello,https://open.spotify.com/track/6TdweeWiGv35hKXn3tARjA
23,"Rubbin Off The Paint","YBN Nahmir",https://open.spotify.com/track/0taOCiup4HNG9LmbduVlJj
24,"Christophe (feat. Maître Gims)",Orelsan,https://open.spotify.com/track/0VhkA3NAwIFfVW4NFCbAOD
25,"Wheat Kings","The Tragically Hip",https://open.spotify.com/track/53o05J0uSWOedPwN4Z0oyo
26,"Feels Great (feat. Fetty Wap & CVBZ)","Cheat Codes",https://open.spotify.com/track/5uu28fUesZMl89lf9CLrgN
27,"Patek Water",Future,https://open.spotify.com/track/7r6LNJT2LqpLpEyZQJPygt
28,"Mi Mala","Mau y Ricky",https://open.spotify.com/track/4XP6qLtHI0n9UjIPTsuqe8
29,Anywhere,"Rita Ora",https://open.spotify.com/track/7EI6Iki24tBHAMxtb4xQN2
30,"Whiskey (feat. A$AP Rocky)","Maroon 5",https://open.spotify.com/track/4OEOEsOhlzDqQuewiuPJAc
31,"Up Down (Feat. Florida Georgia Line)","Morgan Wallen",https://open.spotify.com/track/3LhzpgimYSZhTx5KuchwVX
32,Feelings,"Hayley Kiyoko",https://open.spotify.com/track/4W5xLazldaVUOdckG0vJ2t
33,"Was Du Liebe nennst",Bausa,https://open.spotify.com/track/4hKWUzhQWsOkgT6LnDEASe
34,Criminal,"Natti Natasha",https://open.spotify.com/track/2SmgFAhQkQCQPyBiBxR6Te
35,Potential,"Danielle Bradbery",https://open.spotify.com/track/3NF8NedfgZjzXK71Dwy7kn
36,"Body Talk","Majid Jordan",https://open.spotify.com/track/6T8UV2S5iIXLVesDWrUEVv
37,"Spar (feat. 6LACK & Kodak Black)",Dreezy,https://open.spotify.com/track/24lORMRGMv9sXpZJdN1PVm
38,New,Daya,https://open.spotify.com/track/4tERsdVCLtLtrGdFBf9DGC
39,"Giovane Fuoriclasse","Capo Plaza",https://open.spotify.com/track/4f7xpneUOcob0RoRyae6ax
40,"La fête est finie",Orelsan,https://open.spotify.com/track/0b3dRQO5pgGtwSMufwmzAr
41,"Miss Me More","Kelsea Ballerini",https://open.spotify.com/track/3GFr3MJeo7JI2oJKa4IpTT
42,"Tout va bien",Orelsan,https://open.spotify.com/track/7gmYDrNYV5AaTEnZo0yhtM
43,"That Don’t Impress Me Much - triple j Like A Version",HAIM,https://open.spotify.com/track/0qfZ778fbXXCtyEzyIET5K
44,Bobcaygeon,"The Tragically Hip",https://open.spotify.com/track/2oPzisApHGH3hbcu4C9UJS
45,"Seeing Blind","Niall Horan",https://open.spotify.com/track/65wnZsZLKJimfK1cTFOfa1
46,"Bonne meuf",Orelsan,https://open.spotify.com/track/7f0Nl31UzFBI7izAXdfp88
47,MOVE,TAEMIN,https://open.spotify.com/track/1cgBWgoL6520lR2QZDzdGN
48,"Loving Is Easy","Rex Orange County",https://open.spotify.com/track/5EYi2rH4LYs6M21ZLOyQTx
49,"New Freezer (feat. Kendrick Lamar)","Rich The Kid",https://open.spotify.com/track/4pYZLpX23Vx8rwDpJCpPTA
50,Revenge,P!nk,https://open.spotify.com/track/3OEer2dQj1eWhSqxatGiru
