,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Call Out My Name","The Weeknd",6473226,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N
2,"God's Plan",Drake,5986392,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
3,"Try Me","The Weeknd",4443795,https://open.spotify.com/track/2poOAWEj1CStqTVPgIHZ8s
4,"Psycho (feat. Ty Dolla $ign)","Post Malone",4237797,https://open.spotify.com/track/65NwOZqoXny4JxqAPlfxRF
5,"Wasted Times","The Weeknd",3936324,https://open.spotify.com/track/72TyiiduRmczEbDIEtKQdR
6,FRIENDS,Marshmello,3570420,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
7,X,"Nicky Jam",3555875,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
8,"I Was Never There","The Weeknd",3535917,https://open.spotify.com/track/56d6kYZhfhzpoC3s1dRU2V
9,"Hurt You","The Weeknd",3481010,https://open.spotify.com/track/13wNEvWmBsWaWVtiLPRIW5
10,SAD!,XXXTENTACION,3371243,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
11,IDGAF,"Dua Lipa",3037395,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
12,Privilege,"The Weeknd",2974482,https://open.spotify.com/track/26Fqtv4Aa7kyd1WWGHai6A
13,"The Middle",Zedd,2971884,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
14,"Freaky Friday (feat. Chris Brown)","Lil Dicky",2939463,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
15,"All The Stars (with SZA)","Kendrick Lamar",2883611,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
16,"Look Alive (feat. Drake)","BlocBoy JB",2879532,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
17,"Love Lies (with Normani)",Khalid,2791782,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
18,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,2642727,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
19,Mine,Bazzi,2598921,https://open.spotify.com/track/6tHWl8ows5JOZq9Yfaqn3M
20,"In My Blood","Shawn Mendes",2480509,https://open.spotify.com/track/79jX8RM5CgPqDKdGEKNW9K
21,rockstar,"Post Malone",2388110,https://open.spotify.com/track/2U7Hu2RaNQNRi7izoJyZaX
22,Dura,"Daddy Yankee",2238697,https://open.spotify.com/track/2j2fIJGh4PMdXt9ULI5Tlc
23,Havana,"Camila Cabello",2198893,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
24,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",2055766,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
25,"Plug Walk","Rich The Kid",1996710,https://open.spotify.com/track/6mAz8D1TmlTuef90dbNIiZ
26,"Pray For Me (with Kendrick Lamar)","The Weeknd",1937272,https://open.spotify.com/track/4ofvoCdXq99vpMZO4Cfp8x
27,Delicate,"Taylor Swift",1854655,https://open.spotify.com/track/6NFyWDv5CjfwuzoCkw47Xf
28,Moonlight,XXXTENTACION,1821347,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
29,"Me Niego",Reik,1786618,https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T
30,"Never Be the Same","Camila Cabello",1785937,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ
31,"Like I Do","David Guetta",1732855,https://open.spotify.com/track/6RnkFd8Fqqgk1Uni8RgqCQ
32,"Échame La Culpa","Luis Fonsi",1634292,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK
33,Bella,Wolfine,1618444,https://open.spotify.com/track/3xcCix7Jv1Rp90YVmgo35D
34,"New Rules","Dua Lipa",1612131,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
35,"Walk It Talk It",Migos,1578429,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
36,"Shape of You","Ed Sheeran",1540013,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
37,"Say Something","Justin Timberlake",1515388,https://open.spotify.com/track/1LhMopPAallLeaeNutqbgS
38,"Ric Flair Drip (& Metro Boomin)",Offset,1511652,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
39,Everyday,Logic,1495099,https://open.spotify.com/track/4EAV2cKiqKP5UPZmY6dejk
40,Amorfoda,"Bad Bunny",1489693,https://open.spotify.com/track/3ITvHA9zhZZdBJsOsAUegF
41,"Lost In Japan","Shawn Mendes",1488774,https://open.spotify.com/track/7wvYmO5QscgIDDT0eNwbYX
42,"Stir Fry",Migos,1465078,https://open.spotify.com/track/2UVbBKQOdFAekPTRsnkzcf
43,Perfect,"Ed Sheeran",1461159,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
44,"Finesse (Remix) [feat. Cardi B]","Bruno Mars",1438711,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i
45,"I Fall Apart","Post Malone",1435287,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
46,"Déjala Que Vuelva (feat. Manuel Turizo)","Piso 21",1430893,https://open.spotify.com/track/33bnxcjePIkcmNjEFTJX0l
47,"River (feat. Ed Sheeran)",Eminem,1411790,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD
48,"Mad Love","Sean Paul",1370687,https://open.spotify.com/track/3soOPBuMK8YMdWnV7xpEyf
49,Wolves,"Selena Gomez",1366696,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
50,"Síguelo Bailando",Ozuna,1353500,https://open.spotify.com/track/5Y9fnynLlIvqtM710MHzfz
51,"Remind Me to Forget",Kygo,1352341,https://open.spotify.com/track/6xTU6B6nFwKKTSZ9ySXS80
52,Nevermind,"Dennis Lloyd",1343737,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
53,"King's Dead (with Kendrick Lamar, Future & James Blake)","Jay Rock",1301005,https://open.spotify.com/track/51rXHuKN8Loc4sUlKPODgH
54,"Let You Down",NF,1255215,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr
55,"Powerglide (feat. Juicy J)","Rae Sremmurd",1243417,https://open.spotify.com/track/2yUbCEiaolfSMluDo9RMmG
56,"Sick Boy","The Chainsmokers",1226764,https://open.spotify.com/track/2JfXj2TERIkHwJpnG9f8uX
57,"Feel It Still","Portugal. The Man",1197134,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
58,Breathe,"Jax Jones",1187207,https://open.spotify.com/track/6tvQzeCPwOytDlBYCIOY0n
59,"Lemon - Drake Remix",N.E.R.D,1182591,https://open.spotify.com/track/739vCwA3EpBSkk3uDsI2wB
60,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","Sofia Reyes",1159375,https://open.spotify.com/track/4QtiVmuA88tPQiCOHZuQ5b
61,Corazón,Maluma,1149664,https://open.spotify.com/track/4lESS6vuruP6a79KWRaQou
62,Thunder,"Imagine Dragons",1140812,https://open.spotify.com/track/26gceVsA1ybT8qsX3aYLEn
63,Criminal,"Natti Natasha",1139781,https://open.spotify.com/track/6Za3190Sbw39BBC77WSS1C
64,changes,XXXTENTACION,1131048,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
65,Downtown,Anitta,1130371,https://open.spotify.com/track/3Ga6eKrUFf12ouh9Yw3v2D
66,"XO TOUR Llif3","Lil Uzi Vert",1094289,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
67,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld",1074303,https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y
68,Heaven,"Julia Michaels",1041814,https://open.spotify.com/track/4QfNOZN7vrQCQKK1ZJ3XPb
69,Flames,"David Guetta",1026364,https://open.spotify.com/track/33IOhptvC2Qoy2UhjiHXLV
70,Believer,"Imagine Dragons",1025051,https://open.spotify.com/track/7Izh7zLJGw1Nscd62Exxj4
71,Congratulations,"Post Malone",1016867,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
