Position,"Track Name",Artist,URL
1,"2U (feat. Justin Bieber)","David Guetta",https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M
2,"Sommar sommar sol",JLC,https://open.spotify.com/track/6yuG9MJgec1f18LA7fWJW0
3,"Doves In The Wind",SZA,https://open.spotify.com/track/593W4qZOwwdqF6YnimJjL6
4,"I'll Find You",Lecrae,https://open.spotify.com/track/05hdZ0YRqAg6qsgV1ee3LE
5,"...Baby One More Time - Recorded at Spotify Studios NYC","Ed Sheeran",https://open.spotify.com/track/4mJDfMcT7odIUjWlb2WO4L
6,"Dont Look back in Anger - Live from One Love Manchester","Chris Martin",https://open.spotify.com/track/4EY98IYvH3pHrDHBJOmHg6
7,"To the Max","DJ Khaled",https://open.spotify.com/track/3pC1ILr9KzmQLMe8Kn5QBG
8,"När man festar festar man",Tonsatt,https://open.spotify.com/track/63kgvYkyiyVAAomPuP2Ipt
9,"Not Enough",Lido,https://open.spotify.com/track/0hkUZmOzPlAy3YCuPtxfqD
10,"Wall Of Glass","Liam Gallagher",https://open.spotify.com/track/3eqhMltljpvMkVNUbAHyQI
11,"Everything Now","Arcade Fire",https://open.spotify.com/track/07Ugv4TA7PvQfoqetnmLrS
12,"In Undertow",Alvvays,https://open.spotify.com/track/1etlT87pARhxEIm80jif3m
13,"Freeze Me","Death From Above 1979",https://open.spotify.com/track/3PBXTtPiOqfYcbc30ydVTz
14,"It's Everyday Bro","Jake Paul",https://open.spotify.com/track/4l62h4tiuUwn7eD6hxMlVQ
15,"Look At Us Now","Lost Kings",https://open.spotify.com/track/2idTnDVMIFBqdoHodX8WQc
16,"Una Lady Como Tú","Manuel Turizo",https://open.spotify.com/track/7MHN1aCFtLXjownGhvEQlF
17,Sober,Lorde,https://open.spotify.com/track/7LAkvyogiJ5zQOYPh56QQb
18,"That Far",6LACK,https://open.spotify.com/track/5iEHFuz0pXVHFV7HYIG6ft
19,"The Weekend",SZA,https://open.spotify.com/track/6gU9OKjOE7ghfEd55oRO57
20,"Tran Tran","Sfera Ebbasta",https://open.spotify.com/track/1S2VLr8j9KVbroLn76RF4i
21,"Mis Disculpas",Residente,https://open.spotify.com/track/0341MMlmVNkWqwtBVbTzYh
22,"Jag trodde änglarna fanns",Kamferdrops,https://open.spotify.com/track/3qy7P1Vr6eGIwHP9DCUHwK
23,"Real Life","Duke Dumont",https://open.spotify.com/track/04YFRczeeieYRlsrPJ8hjh
24,"While We're Young","Jhene Aiko",https://open.spotify.com/track/10Zaowprez4H4ycvhO2qqv
25,"Broken Clocks",SZA,https://open.spotify.com/track/2fXwCWkh6YG5zU1IyvQrbs
26,"I Knew You Were Trouble.","Taylor Swift",https://open.spotify.com/track/72jCZdH0Lhg93z6Z4hBjgj
27,"Despacito - Remix","Luis Fonsi",https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
28,"Strip That Down","Liam Payne",https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ
29,"Good Cop Bad Cop","Ice Cube",https://open.spotify.com/track/0DPNRRkWkye2ZHTqAiClRH
30,"More Than You Know","Axwell /\ Ingrosso",https://open.spotify.com/track/4q8PHoRsPUB52LFylX8Ulz
31,Witness,"Katy Perry",https://open.spotify.com/track/7iz4bsfPOrK9wzhXkgUfya
32,"Freaky (feat. Wande Coal & Beenie Man) - Radio Edit","Dr Vades",https://open.spotify.com/track/1CpWeQ9cBNOCYYtsFelkfM
33,"Te Regalo","Carla Morrison",https://open.spotify.com/track/2Ye46ZY2LKOQTPXaauQisB
34,Probablemente,"Christian Nodal",https://open.spotify.com/track/3SdWUpIZc44aOph8y9Jmr5
35,"Timshel - Live from One Love Manchester","Marcus Mumford",https://open.spotify.com/track/1FY6Zm5zQiCabltdD1cYiy
36,"I Like Me Better",Lauv,https://open.spotify.com/track/1wjzFQodRWrPcQ0AnYnvQ9
37,"Know No Better (feat. Travis Scott, Camila Cabello & Quavo)","Major Lazer",https://open.spotify.com/track/3Ytr1SUCUi6J3L9dRFx5iH
38,Magnolia,"Playboi Carti",https://open.spotify.com/track/1e1JKLEDKP7hEQzJfNAgPl
39,"Love Galore",SZA,https://open.spotify.com/track/0q75NwOoFiARAVp4EXU4Bs
40,"Mala Mujer","C. Tangana",https://open.spotify.com/track/6puxHBNwu2Nmm7uD3Rd2MP
41,"4 AM","2 Chainz",https://open.spotify.com/track/4r4PJQBHAE0bIKCjunhTgd
42,Music,"Mystery Skulls",https://open.spotify.com/track/5tA8FvdL0mV0LrqLFncU8K
43,Red,"Taylor Swift",https://open.spotify.com/track/0cITLOYn1Sv4q27zZPqlNK
44,Unforgettable,"French Montana",https://open.spotify.com/track/1F2HXIJrE2Xn81OzT2zZvW
45,"Rain Come Down","Vince Staples",https://open.spotify.com/track/6C26E43GmrLmihuCaan2DT
46,"All Too Well","Taylor Swift",https://open.spotify.com/track/4XMP3zVxrnr58T0tjIHvpR
47,Inspired,"Miley Cyrus",https://open.spotify.com/track/5IEyHbUpYOZV7u9nB2DtI5
48,"I Only Lie When I Love You","Royal Blood",https://open.spotify.com/track/4VsR4LXdPB9nrZ3wLbdMLN
49,"Help Me Help You (feat. Why Don't We)","Logan Paul",https://open.spotify.com/track/51w95jAPQDOWN3M7xopWWh
50,Supermodel,SZA,https://open.spotify.com/track/5wTVNpi5WDByxBgKgUE6MU
