,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"This Is America","Childish Gambino",5040897,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
2,"Better Now","Post Malone",4658844,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
3,"One Kiss (with Dua Lipa)","Calvin Harris",4105457,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
4,"Nice For What",Drake,4049291,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
5,"no tears left to cry","Ariana Grande",3578250,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
6,"God's Plan",Drake,3466755,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
7,"Psycho (feat. Ty Dolla $ign)","Post Malone",3410099,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
8,FRIENDS,Marshmello,2957471,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
9,X,"Nicky Jam",2713042,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
10,"I Like It","Cardi B",2661309,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
11,"rockstar (feat. 21 Savage)","Post Malone",2526024,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
12,"Te Boté - Remix","Nio Garcia",2520055,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
13,"The Middle",Zedd,2451606,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
14,"Freaky Friday (feat. Chris Brown)","Lil Dicky",2247821,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
15,Paranoid,"Post Malone",2218287,https://open.spotify.com/track/3fpVWegR6YOS1Yk5HSMYIq
16,"Love Lies (with Normani)",Khalid,2215557,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
17,"Call Out My Name","The Weeknd",2091010,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N
18,"Look Alive (feat. Drake)","BlocBoy JB",2021539,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
19,Nevermind,"Dennis Lloyd",2005829,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
20,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",1948789,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
21,IDGAF,"Dua Lipa",1915297,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
22,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,1885872,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
23,OTW,Khalid,1818577,https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI
24,Flames,"David Guetta",1790188,https://open.spotify.com/track/33IOhptvC2Qoy2UhjiHXLV
25,Stay,"Post Malone",1739296,https://open.spotify.com/track/4H7WNRErSbONkM06blBoGc
