,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Better Now","Post Malone",4170532,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
2,"One Kiss (with Dua Lipa)","Calvin Harris",3911650,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
3,"I Like It","Cardi B",3779130,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
4,"Girls Like You (feat. Cardi B)","Maroon 5",3507689,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
5,"Lucid Dreams","Juice WRLD",3388491,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc
6,Youngblood,"5 Seconds of Summer",3266921,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
7,"Back To You","Selena Gomez",3082971,https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9
8,"no tears left to cry","Ariana Grande",3036812,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
9,"Solo (feat. Demi Lovato)","Clean Bandit",2919185,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
10,"Te Boté - Remix","Nio Garcia",2864792,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
11,"Nice For What",Drake,2833929,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
12,X,"Nicky Jam",2743250,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
13,"God's Plan",Drake,2573277,https://open.spotify.com/track/6T8cJz5lAqGer9GUHGyelE
14,"All Mine","Kanye West",2346036,https://open.spotify.com/track/3qnoOm4fwZPBS116f5hpgF
15,"Taste (feat. Offset)",Tyga,2310861,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
16,"Psycho (feat. Ty Dolla $ign)","Post Malone",2260787,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
