Position,"Track Name",Artist,URL
1,"Lo Niego Todo","Joaquín Sabina",https://open.spotify.com/track/4OpjKvt0ZXA117dqzOrV1y
2,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
3,Automaton,Jamiroquai,https://open.spotify.com/track/6twol6GKjrxZ4sBr5Xg6WY
4,"Tú Sí Sabes Quererme","Natalia Lafourcade",https://open.spotify.com/track/2gvhbU2mvwxITWzCI0q9CS
5,"Sultan's Curse",Mastodon,https://open.spotify.com/track/60S9ymObD44uj4KTDUGIXV
6,"Scared to Be Lonely","Martin Garrix",https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
7,"City Of Stars - From ""La La Land"" Soundtrack","Ryan Gosling",https://open.spotify.com/track/0LtVx5vsq9nfpGsWgjUin6
8,"Show You The Way",Thundercat,https://open.spotify.com/track/4Hp5A5oqVKm4mxNiSubYxP
9,Issues,"Julia Michaels",https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
10,"Todo Dia","Pabllo Vittar",https://open.spotify.com/track/3iDY4SzUHPkC3WTXpfxXJG
11,"Shape of You","Ed Sheeran",https://open.spotify.com/track/0FE9t6xYkqWXU2ahLh6D8X
12,"Another Day Of Sun - From ""La La Land"" Soundtrack","La La Land Cast",https://open.spotify.com/track/0zCfmceT1YvtZXGbR6Roht
13,"Otra Vez","Felix Gabriel",https://open.spotify.com/track/4kdpq7Ez7T2cn75Jem2PEv
14,"Cave Me In",Gallant,https://open.spotify.com/track/79ptYtWnpAnsQutzg2xSFk
15,"Old School","Urban Cone",https://open.spotify.com/track/41kE0bBBpwPUZEZKxSIROh
16,"Run Up (feat. PARTYNEXTDOOR & Nicki Minaj)","Major Lazer",https://open.spotify.com/track/0fg8CqpjdojMyXLNzM2PaJ
17,"Young Blood","Noah Kahan",https://open.spotify.com/track/1UOuZs8BPGMM6Ls0jP6BjQ
18,Restart,BNQT,https://open.spotify.com/track/3v1iInCBrrCqjoHLQVEvDf
19,"Look at Me!",XXXTENTACION,https://open.spotify.com/track/2oUuLLKS8WbF7ELJcwbqms
20,"Pure Comedy","Father John Misty",https://open.spotify.com/track/7EqHqILVR6yZE8hCSZodt0
21,"City Of Stars - From ""La La Land"" Soundtrack/Pier","Ryan Gosling",https://open.spotify.com/track/5BMwpS4iYKR30kq9U9beaT
22,"Mia & Sebastian’s Theme - From ""La La Land"" Soundtrack","Justin Hurwitz",https://open.spotify.com/track/1R17cgUv6HeQFa78dzqb7s
23,Nevermind,"Dennis Lloyd",https://open.spotify.com/track/3PHjgrovCBjQQl5Np5YQBy
24,"Me Rehúso","Danny Ocean",https://open.spotify.com/track/6Zosz8w6CmdGMZM6p4JlbQ
25,Body,Syd,https://open.spotify.com/track/5PNa1MjGan22iWil3F4zv6
26,"Hulluuden Highway","Haloo Helsinki!",https://open.spotify.com/track/6M4WAZc5myzgRISbmgUF8Q
27,"Epilogue - From ""La La Land"" Soundtrack","Justin Hurwitz",https://open.spotify.com/track/1WOmEg42Mgaz1nRimIMR9C
28,Darling,"Real Estate",https://open.spotify.com/track/7Lpi2otSpwKiTpFsdDKEzP
29,Skin,"Rag'n'Bone Man",https://open.spotify.com/track/1mS18wsyQxHl7YLZ1Y3mqs
30,Goodbye,2NE1,https://open.spotify.com/track/1CSceRZ3QvI4JczMF1PAil
31,"Round and round (feat. Han Suji)",HEIZE,https://open.spotify.com/track/3vAncbML0jhNrp63DKhsCo
32,Anymore,Goldfrapp,https://open.spotify.com/track/0fFLERZov57zY8WJzKhNLW
33,"Sooner Or Later","Aaron Carter",https://open.spotify.com/track/4mqvE5F95nKSUrUvUH3YB7
34,"Burning Man",watt,https://open.spotify.com/track/6REbB4VXol3q3iiCjvojL5
35,"I'm Better (feat. Lamb)","Missy Elliott",https://open.spotify.com/track/2Kf9fwIOwZwd6Aw7OxfkF0
36,"Audition (The Fools Who Dream) - From ""La La Land"" Soundtrack","Emma Stone",https://open.spotify.com/track/6j0wBBAP3hMe4t1Ymj7GIe
37,"Quit You","Lost Kings",https://open.spotify.com/track/4GJAd1nBylAEbw1dZDVzEQ
38,"So Good","Zara Larsson",https://open.spotify.com/track/2cP2Xlw6ZbuQgIOs0Cn0yu
39,Down,"Marian Hill",https://open.spotify.com/track/5eCkuGPZNl4mISFNPgr3Dd
40,"İhanetten Geri Kalan","Sezen Aksu",https://open.spotify.com/track/6n7CEaECHbDo4J00iVx0Gh
41,Alibi,Clans,https://open.spotify.com/track/2O0tF4uRKhsKRDO3TGI5ev
42,"Warrior (feat. LIGHTS)","Steve James",https://open.spotify.com/track/3FNrsc6ndpuiaKXqnt1mJI
43,Blessings,Lecrae,https://open.spotify.com/track/6VnLjrkcajFj4Rzq6jFznj
44,"Love Me Better","James Blunt",https://open.spotify.com/track/5U76HRbnI7CCdmPJF14ykD
45,"Tror Vi Er Nem´",Amanda,https://open.spotify.com/track/5lp4bJ3AAEP2k2GdR8VVoL
46,"Be About You","Winston Surfshirt",https://open.spotify.com/track/0tDLcm4PaXUsqJRAkG8MYY
47,"Shutter Island","Jessie Reyez",https://open.spotify.com/track/5CXTbOAOiWVTrPTr34VhzV
48,Gone,"Linus Hablot",https://open.spotify.com/track/4Bi8YFSws4fwEsk1LG4KEF
49,Paradise,ANOHNI,https://open.spotify.com/track/46rdFmDb1n6QYysGhyg80w
50,"Shock Horror","Shy Luv",https://open.spotify.com/track/1Z35XdkIivUr7TqTCfJpds
