,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"In My Feelings",Drake,8287678,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
2,"SICKO MODE","Travis Scott",5108652,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
3,STARGAZING,"Travis Scott",4844724,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
4,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,4118211,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
5,"No Brainer","DJ Khaled",3925529,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
6,"Girls Like You (feat. Cardi B)","Maroon 5",3705564,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
7,"I Like It","Cardi B",3447449,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
8,CAROUSEL,"Travis Scott",3099954,https://open.spotify.com/track/7KZ5MMVgBVox9ycroB2UrI
9,"Lucid Dreams","Juice WRLD",3054313,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
10,"Solo (feat. Demi Lovato)","Clean Bandit",3046339,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
11,"Taste (feat. Offset)",Tyga,2969083,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
12,"Eastside (with Halsey & Khalid)","benny blanco",2897163,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
13,"One Kiss (with Dua Lipa)","Calvin Harris",2827801,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
14,SAD!,XXXTENTACION,2817614,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
15,"God is a woman","Ariana Grande",2808751,https://open.spotify.com/track/7gkWXbAxIYuvtOpcN3p9GJ
16,Rise,"Jonas Blue",2798039,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
17,"Jackie Chan",Tiësto,2724407,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
18,"Better Now","Post Malone",2689346,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
19,"In My Mind",Dynoro,2665988,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
20,"R.I.P. SCREW","Travis Scott",2569843,https://open.spotify.com/track/4SZepBIPDRwPaHIjAKwRDb
21,"Te Boté - Remix","Nio Garcia",2551800,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
22,"WAKE UP","Travis Scott",2523242,https://open.spotify.com/track/20MuVazoNMv6xjKPnRFOxG
23,Youngblood,"5 Seconds of Summer",2485339,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
24,"NO BYSTANDERS","Travis Scott",2476519,https://open.spotify.com/track/6OaVWaGfhXn70ZJfdVcabn
25,"STOP TRYING TO BE GOD","Travis Scott",2435819,https://open.spotify.com/track/1xYpVRspgaLxdJLOTQkTjg
26,YOSEMITE,"Travis Scott",2430378,https://open.spotify.com/track/7lAK3oHbfEnvUQWosrMMpR
27,"5% TINT","Travis Scott",2288252,https://open.spotify.com/track/11kDth1aKUEUMq9r1pqyds
28,"Sin Pijama","Becky G",2196272,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
29,Body,"Loud Luxury",2132965,https://open.spotify.com/track/43V1z6QToNNWNldV4FEG6r
30,NC-17,"Travis Scott",2129151,https://open.spotify.com/track/6BJbOXDlgVAXSaq6wYFYT2
31,SKELETONS,"Travis Scott",2101340,https://open.spotify.com/track/6NMtzpDQBTOfJwMzgMX0zl
32,"BUTTERFLY EFFECT","Travis Scott",2060328,https://open.spotify.com/track/6xcJyGpfZbuuiequtnlKt4
33,"CAN'T SAY","Travis Scott",2047107,https://open.spotify.com/track/27a1mYSG5tYg7dmEjWBcmL
