Position,"Track Name",Artist,URL
1,"Treading Water","Chris Kläfford",https://open.spotify.com/track/4VJYs0SVHHm0C1Os11eoKT
2,"Perfect Duet (Ed Sheeran & Beyoncé)","Ed Sheeran",https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI
3,"Dark Knight Dummo (Feat. Travis Scott)","Trippie Redd",https://open.spotify.com/track/3YeJXuRSNS5FYwOsDu44kD
4,"Him & I",G-Eazy,https://open.spotify.com/track/3YU6vJbjYUG0tiJyXf9x5V
5,Untouchable,Eminem,https://open.spotify.com/track/4UgoXTsKI19EdofRMiqhp0
6,"Harry Porra","Mc Maha",https://open.spotify.com/track/2iMExhesVankHz7PVnbwXR
7,"Je te promets","Johnny Hallyday",https://open.spotify.com/track/1zw40jMntljzbGsl0KJboE
8,"Never Be the Same","Camila Cabello",https://open.spotify.com/track/6VpQdig9pdpTSIFItgkJV5
9,"So Good (& Metro Boomin)","Big Sean",https://open.spotify.com/track/0fWBFDRTIuk8ZgNdZqhCer
10,"I'm Not Racist","Joyner Lucas",https://open.spotify.com/track/0hL8yBivUahlm1rhQ1a0Xx
11,"Go Legend (& Metro Boomin)","Big Sean",https://open.spotify.com/track/3wAI7MIQtTgwcRmwchPZBc
12,"Dimelo - X Factor Recording",Rak-Su,https://open.spotify.com/track/6pWzEnoUsuiTcp6odVDovx
13,"Crystal Snow",BTS,https://open.spotify.com/track/5SXEEYJxc5OPoOn5H9SHvX
14,"September Rose","Cailin Russo",https://open.spotify.com/track/1yka5XpwTBV951mp2OVYcn
15,crash,EDEN,https://open.spotify.com/track/0uxC9yUi8uPtNPo6HRshRM
16,KOODA,6ix9ine,https://open.spotify.com/track/5NT0aZqWImC9fTzkW4z48o
17,"Real Friends","Camila Cabello",https://open.spotify.com/track/4V6MRo0CEAC9MwAm7dkPuL
18,"Danger (with Migos & Marshmello)",Migos,https://open.spotify.com/track/0nhVrTiCGiGRCoZOJiWzm1
19,"Scary Love","The Neighbourhood",https://open.spotify.com/track/3kl0x96aqexH75Xukmz2Mo
20,VROOM,"Famke Louise",https://open.spotify.com/track/1JVBWi7RXdqEjIy3vKTXgG
21,"Out Of My Head (feat. Tove Lo and ALMA)","Charli XCX",https://open.spotify.com/track/1So1tVk3gybvc2I0JY8K22
22,"PICK IT UP (feat. A$AP Rocky)","Famous Dex",https://open.spotify.com/track/3ncgNpxLoBQ65ABk4djDyd
23,"Look At What The Light Did Now","Flo Morrissey and Matthew E. White",https://open.spotify.com/track/1c20BEm4fEQEDoE5v1ehbZ
24,Nineteen,"Hayley Williams",https://open.spotify.com/track/3O4E0I9VrOtzBXwPvWBjl3
25,"What's The Word (feat. Nas)","Joe Fox",https://open.spotify.com/track/0pAcTC4s2ZC5E7B62vAbwE
26,"MIC Drop (feat. Desiigner) [Steve Aoki Remix]",BTS,https://open.spotify.com/track/7Ed6BkggCS2KaKY5YlINaF
27,"Who's Stopping Me (& Metro Boomin)","Big Sean",https://open.spotify.com/track/7dHui7yOhsoj7HdWSuJTW7
28,Corazón,Maluma,https://open.spotify.com/track/4lESS6vuruP6a79KWRaQou
29,"Pretty Girl",Clairo,https://open.spotify.com/track/4Pv7OY4tfCA8KIdtlkANOS
30,Dreamer,"Axwell /\ Ingrosso",https://open.spotify.com/track/7hvxMYq9JW5W0vFwiu1Zdr
31,"Castle On The Hill - Recorded at Sound Stage Nashville","Thomas Rhett",https://open.spotify.com/track/71R7NckyIlOd8fJzoZIJfR
32,"Loving Is Easy","Rex Orange County",https://open.spotify.com/track/5EYi2rH4LYs6M21ZLOyQTx
33,Sober,G-Eazy,https://open.spotify.com/track/0GOJobsbOSIF99y6CGr5o6
34,Barking,Ramz,https://open.spotify.com/track/7amMgNDcObIDkIXv4xcvc2
35,"Échame La Culpa","Luis Fonsi",https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK
36,Tadow,Masego,https://open.spotify.com/track/1DoS5ql0TW3ejjJGHbsAmz
37,"Um Yea","Quality Control",https://open.spotify.com/track/6XTetcNx1W6CKG0lSSnvrq
38,"Man's Not Hot","Big Shaq",https://open.spotify.com/track/2nUJvBO87SkxCViQsLc9Zr
39,Sensualidad,"Bad Bunny",https://open.spotify.com/track/5hcisvFMidkMJlElTO9Qmw
40,"Ragatanga (Asereje) - Versão Editada",Rouge,https://open.spotify.com/track/7aSwDCjueXPEIf3OeZiRFR
41,Downtown,Anitta,https://open.spotify.com/track/3Ga6eKrUFf12ouh9Yw3v2D
42,Turn,"The Wombats",https://open.spotify.com/track/5ugZhL4U97QOCBCXseE2Qw
43,"Ric Flair Drip (& Metro Boomin)",Offset,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
44,Mediterranean,"Quality Control",https://open.spotify.com/track/0kN8aoF74sj0UCFwMQoIBK
45,"Whatever You On","London On Da Track",https://open.spotify.com/track/4ccv9Mfcsc3MpaSi9h9tH6
46,"Wake Up & Cook Up",Zaytoven,https://open.spotify.com/track/5EHwQt5TKjiYvbexPx92tG
47,"Scooby Doo Pa Pa","Dj Kass",https://open.spotify.com/track/1xndOD8CreR5ctkOv5G1LN
48,"Ice Tray","Quality Control",https://open.spotify.com/track/3wdfLVUhmX64lIyWIIEW8s
49,L'envie,"Johnny Hallyday",https://open.spotify.com/track/1DssiNss5G9n0SuB7c4Cem
50,"So Far Away","Martin Garrix",https://open.spotify.com/track/0OlnLZY4cmQzT6ZGttvWBM
