,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Better Now","Post Malone",3861720,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
2,"One Kiss (with Dua Lipa)","Calvin Harris",3671848,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
3,"I Like It","Cardi B",3225778,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
4,"Back To You","Selena Gomez",3018479,https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9
5,"no tears left to cry","Ariana Grande",2815869,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
6,"Nice For What",Drake,2814911,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
7,"Lucid Dreams","Juice WRLD",2814169,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc
8,"Girls Like You (feat. Cardi B)","Maroon 5",2672867,https://open.spotify.com/track/6FRLCMO5TUHTexlWo8ym1W
9,"Te Boté - Remix","Nio Garcia",2650851,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
10,"All Mine","Kanye West",2571730,https://open.spotify.com/track/3qnoOm4fwZPBS116f5hpgF
11,"God's Plan",Drake,2513202,https://open.spotify.com/track/6T8cJz5lAqGer9GUHGyelE
12,X,"Nicky Jam",2460290,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
13,"Solo (feat. Demi Lovato)","Clean Bandit",2452802,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
14,Youngblood,"5 Seconds of Summer",2341333,https://open.spotify.com/track/55S2PQgSMYAhgoTCcGCDfw
15,"Psycho (feat. Ty Dolla $ign)","Post Malone",2219838,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
16,FRIENDS,Marshmello,2085982,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
17,"This Is America","Childish Gambino",1974638,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
18,Nevermind,"Dennis Lloyd",1890052,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
19,"rockstar (feat. 21 Savage)","Post Malone",1852621,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
20,Reborn,"KIDS SEE GHOSTS",1796044,https://open.spotify.com/track/4RVbK6cV0VqWdpCDcx3hiT
21,"Yes Indeed","Lil Baby",1795666,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
