,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"This Is America","Childish Gambino",1914536,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
2,"Nice For What",Drake,1776780,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
3,"Better Now","Post Malone",1596526,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
4,"Psycho (feat. Ty Dolla $ign)","Post Malone",1388028,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
5,"Yes Indeed","Lil Baby",1350694,https://open.spotify.com/track/1wsf1YFQSYND45y0GzJmf7
6,"God's Plan",Drake,1249470,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
7,"Look Alive (feat. Drake)","BlocBoy JB",1163032,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
8,Paranoid,"Post Malone",990855,https://open.spotify.com/track/3fpVWegR6YOS1Yk5HSMYIq
9,"I Like It","Cardi B",987953,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
10,"rockstar (feat. 21 Savage)","Post Malone",957544,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
11,"Watch (feat. Lil Uzi Vert & Kanye West)","Travis Scott",887239,https://open.spotify.com/track/3DoBTwfr8yi2LN08SBpFkN
12,"Spoil My Night (feat. Swae Lee)","Post Malone",887014,https://open.spotify.com/track/5VuxWXbt7XENQCtE9TzpTv
13,Stay,"Post Malone",862712,https://open.spotify.com/track/4H7WNRErSbONkM06blBoGc
14,"Plug Walk","Rich The Kid",857238,https://open.spotify.com/track/6mAz8D1TmlTuef90dbNIiZ
15,"no tears left to cry","Ariana Grande",850322,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
16,"Rich & Sad","Post Malone",843435,https://open.spotify.com/track/2VdT56BGpdqNHUgOe1j5vc
