,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Better Now","Post Malone",4222372,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
2,"One Kiss (with Dua Lipa)","Calvin Harris",3964972,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
3,"All Mine","Kanye West",3759133,https://open.spotify.com/track/3qnoOm4fwZPBS116f5hpgF
4,"Nice For What",Drake,3285678,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
5,"I Like It","Cardi B",3251189,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
6,Yikes,"Kanye West",3136520,https://open.spotify.com/track/2r4JRwcbIeuAzWjH4YXlLs
7,"Ghost Town","Kanye West",3126184,https://open.spotify.com/track/6Bg7MznA9X0dIhlAsLyBYj
8,"no tears left to cry","Ariana Grande",3083921,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
9,"Back To You","Selena Gomez",2937807,https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9
10,"God's Plan",Drake,2845814,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
11,"Lucid Dreams","Juice WRLD",2800615,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc
12,"Te Boté - Remix","Nio Garcia",2647886,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
13,X,"Nicky Jam",2543313,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
14,"Psycho (feat. Ty Dolla $ign)","Post Malone",2532570,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
15,"This Is America","Childish Gambino",2514892,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
16,Youngblood,"5 Seconds of Summer",2463597,https://open.spotify.com/track/55S2PQgSMYAhgoTCcGCDfw
17,"Girls Like You (feat. Cardi B)","Maroon 5",2369771,https://open.spotify.com/track/6FRLCMO5TUHTexlWo8ym1W
18,"Solo (feat. Demi Lovato)","Clean Bandit",2320555,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
19,FRIENDS,Marshmello,2296436,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
20,"Wouldn't Leave","Kanye West",2226792,https://open.spotify.com/track/3dG6tjetoR4GMmUGZUprLt
21,"Violent Crimes","Kanye West",2119199,https://open.spotify.com/track/2VYb3Fb5iK5Y8HGZ8oEEkp
22,"Yes Indeed","Lil Baby",2109834,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
23,"rockstar (feat. 21 Savage)","Post Malone",2034201,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
24,Nevermind,"Dennis Lloyd",2012632,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
25,Flames,"David Guetta",1985585,https://open.spotify.com/track/33IOhptvC2Qoy2UhjiHXLV
26,"I Thought About Killing You","Kanye West",1941124,https://open.spotify.com/track/6EuE9M1viu9gkdFSafia9o
27,"No Mistakes","Kanye West",1898862,https://open.spotify.com/track/1DdgqEZk4Hqfpl3drdXJun
28,"Love Lies (with Normani)",Khalid,1883771,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
29,"In My Blood","Shawn Mendes",1842034,https://open.spotify.com/track/21YnmkSDhUkmkkni22Svc4
30,"The Middle",Zedd,1832459,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
31,"lovely (with Khalid)","Billie Eilish",1829479,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
32,2002,Anne-Marie,1765469,https://open.spotify.com/track/6SFStUDQZNaGPKWOx9ZiJB
33,IDGAF,"Dua Lipa",1760641,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
34,"Look Alive (feat. Drake)","BlocBoy JB",1723138,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
35,"Youth feat. Khalid","Shawn Mendes",1710425,https://open.spotify.com/track/5SwEgzUFDHwpWHKrbnP32Z
36,"I'm Upset",Drake,1694318,https://open.spotify.com/track/54oMZ3blwWwuPN4wEoG5mk
37,"Taste (feat. Offset)",Tyga,1687269,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
38,"Playinwitme (feat. Kehlani)",KYLE,1646703,https://open.spotify.com/track/4F1yvJfQ7gJkrcgFJQDjOr
