Position,"Track Name",Artist,URL
1,Reborn,"KIDS SEE GHOSTS",https://open.spotify.com/track/4RVbK6cV0VqWdpCDcx3hiT
2,"Midsummer Madness",88rising,https://open.spotify.com/track/0wFmawqundY8rOn9sZUqA6
3,"Girls Like You (feat. Cardi B)","Maroon 5",https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
4,"4th Dimension","KIDS SEE GHOSTS",https://open.spotify.com/track/6JyEh4kl9DLwmSAoNDRn5b
5,"Feel The Love","KIDS SEE GHOSTS",https://open.spotify.com/track/3aUFrxO1B8EW63QchEl3wX
6,"Lucid Dreams","Juice WRLD",https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc
7,"Taste (feat. Offset)",Tyga,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
8,RAMPAGE,GRAVEDGR,https://open.spotify.com/track/37hs3QImrFsiEZF2D92QGe
9,"Cudi Montage","KIDS SEE GHOSTS",https://open.spotify.com/track/4kUZvXB3LC3an3HX6h0s17
10,Karma,Sky,https://open.spotify.com/track/14WIiWOJXL5VkX1zpt87Ed
11,"Din Din Din (Participação especial de MC Pupio e MC Doguinha)",Ludmilla,https://open.spotify.com/track/78Q2gghkt8iLJ7J0Uc4QYb
12,"Freeee (Ghost Town Pt. 2)","KIDS SEE GHOSTS",https://open.spotify.com/track/7GRTrWsP3yo2Fx8umJfA1X
13,Youngblood,"5 Seconds of Summer",https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
14,"New Light","John Mayer",https://open.spotify.com/track/3bH4HzoZZFq8UpZmI2AMgV
15,"Kids See Ghosts","KIDS SEE GHOSTS",https://open.spotify.com/track/2I3dW2dCBZAJGj5X21E53k
16,Simple,"Florida Georgia Line",https://open.spotify.com/track/4P92FrvmYQSAfOpp4cpFEi
17,"My Own Grave","As I Lay Dying",https://open.spotify.com/track/2QcHIZFd5Meeroa1HB1L90
18,"Let Me Down Slowly","Alec Benjamin",https://open.spotify.com/track/2uaiyLKnYvazyfR0Ky3Kbk
19,"Praise The Lord (Da Shine)","A$AP Rocky",https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
20,"Jackie Chan",Tiësto,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
21,"La Cintura","Alvaro Soler",https://open.spotify.com/track/19MBk3PbNFE36wqIqkMq9H
22,Morgen,"Fynn Kliemann",https://open.spotify.com/track/281fGyI8q8gdQWtMpXlfdC
23,"Reverse (Ft. G-Eazy)","Vic Mensa",https://open.spotify.com/track/3qAyjdhtnU2a14rrRKEkcE
24,"All Mine","Kanye West",https://open.spotify.com/track/3qnoOm4fwZPBS116f5hpgF
25,"Ao Vivo E A Cores","Matheus & Kauan",https://open.spotify.com/track/2Ab1wPTEqulaCGoBak1gUo
26,Nera,Irama,https://open.spotify.com/track/6Lc0La3OwOmAouQjbID4uX
27,"The Island, Pt. 1 (Dawn) - Skrillex Remix",Pendulum,https://open.spotify.com/track/24hYr62Cz2iA3OOef8mykI
28,"Lovesick Blues","Mason Ramsey",https://open.spotify.com/track/4H8p5SlXFOb17x7p2koAM5
29,"Solo (feat. Demi Lovato)","Clean Bandit",https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
30,"Te Boté - Remix","Nio Garcia",https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
31,"Three Lions","Baddiel, Skinner & Lightning Seeds",https://open.spotify.com/track/0Ai6qtPfiEYGCqBGJYWD1W
32,"Jogo do Amor","MC Bruninho",https://open.spotify.com/track/3MxbRHE1u74SoMNR9iURIZ
33,"Amore e Capoeira","Takagi & Ketra",https://open.spotify.com/track/5Vwqy3CS2aCB6jcgm1qWfk
34,"Pa Mi (with Ozuna)","Tory Lanez",https://open.spotify.com/track/0CYLDwvvpJQySLA5CvqvSl
35,Crush,"Cigarettes After Sex",https://open.spotify.com/track/6Yp1rojKvcWzLKV2G4ZzIw
36,Fire,"KIDS SEE GHOSTS",https://open.spotify.com/track/7oHkit3F3vimtsBbnZkU0G
37,"Don't Stop",D-Sol,https://open.spotify.com/track/282eOXY1rnj6BWTEBmCdVM
38,"Get It","PRISTIN V",https://open.spotify.com/track/6sOBI67H8F3S1cNS6CM5p7
39,"lovely (with Khalid)","Billie Eilish",https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
40,"Amor Falso","Aldair Playboy",https://open.spotify.com/track/00zzSEe82JTtz68XlARnh7
41,"Spread Love (Paddington) [feat. DVNO]","Boston Bun",https://open.spotify.com/track/2MYRU51rPa1QpukXT2lR7C
42,"Back To You","Selena Gomez",https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9
43,Clandestino,Shakira,https://open.spotify.com/track/7DrluKkTviBwCc8AV3VGmf
44,Africa,Weezer,https://open.spotify.com/track/36Pim2ANczp82lCWIb8GHy
45,"The Rover",Interpol,https://open.spotify.com/track/6EhB9ke1tDcyWXP6G6HXZn
46,"Better Now","Post Malone",https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
47,"FAKE LOVE",BTS,https://open.spotify.com/track/3aW0ds4A4tSQDIp75FqWTo
48,Sommerkroppen,"Mads Hansen",https://open.spotify.com/track/6HqobDaKcIiv7iRierChsK
49,"Big Bank feat. 2 Chainz, Big Sean, Nicki Minaj",YG,https://open.spotify.com/track/2RM4jf1Xa9zPgMGRDiht8O
50,"MALAMENTE - Cap.1: Augurio",ROSALÍA,https://open.spotify.com/track/5zOAudPQIs5U8zP6LQGHmH
