,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Nice For What",Drake,5235326,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
2,"no tears left to cry","Ariana Grande",4802331,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
3,"God's Plan",Drake,4565085,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
4,"One Kiss (with Dua Lipa)","Calvin Harris",4288677,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
5,"Psycho (feat. Ty Dolla $ign)","Post Malone",3614788,https://open.spotify.com/track/7wrDRQgHlvDnimrRHfQZxt
6,FRIENDS,Marshmello,3443837,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
7,X,"Nicky Jam",3401042,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
8,"Call Out My Name","The Weeknd",3338455,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N
9,"I Like It","Cardi B",3275224,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
10,"Freaky Friday (feat. Chris Brown)","Lil Dicky",2984313,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
11,"The Middle",Zedd,2861115,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
12,KOD,"J. Cole",2813644,https://open.spotify.com/track/7yotKA30dwTKNEGomV9ZsI
13,"Love Lies (with Normani)",Khalid,2679228,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
14,SAD!,XXXTENTACION,2402858,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
15,"Look Alive (feat. Drake)","BlocBoy JB",2385455,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
16,IDGAF,"Dua Lipa",2365918,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
17,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,2331020,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
18,"Wake Me Up - Radio Edit",Avicii,2237476,https://open.spotify.com/track/6g1NlCpW7fgqDnWbCCDrHl
19,"Kevin’s Heart","J. Cole",2199986,https://open.spotify.com/track/6tZ3b7ik1QDXFAZlXib0YZ
20,Mine,Bazzi,2160917,https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR
21,ATM,"J. Cole",2146441,https://open.spotify.com/track/2UciqgwVDwro0fev3MFbxJ
22,Nevermind,"Dennis Lloyd",2119482,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
23,"All The Stars (with SZA)","Kendrick Lamar",2108848,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
24,rockstar,"Post Malone",1978796,https://open.spotify.com/track/2U7Hu2RaNQNRi7izoJyZaX
25,"In My Blood","Shawn Mendes",1965287,https://open.spotify.com/track/79jX8RM5CgPqDKdGEKNW9K
26,Dura,"Daddy Yankee",1909794,https://open.spotify.com/track/2j2fIJGh4PMdXt9ULI5Tlc
27,"Walk It Talk It",Migos,1885330,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
28,"Like I Do","David Guetta",1881652,https://open.spotify.com/track/6RnkFd8Fqqgk1Uni8RgqCQ
29,Motiv8,"J. Cole",1859837,https://open.spotify.com/track/1AT4xjNarTswd0UZ5FlmKF
30,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",1855694,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
31,"Without You (feat. Sandro Cavazza)",Avicii,1841279,https://open.spotify.com/track/6WbADFqMvR8N5u0BvtsWQE
32,"Plug Walk","Rich The Kid",1828439,https://open.spotify.com/track/6mAz8D1TmlTuef90dbNIiZ
33,OTW,Khalid,1784367,https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI
34,"Me Niego",Reik,1763387,https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T
35,"1985 - Intro to “The Fall Off”","J. Cole",1740401,https://open.spotify.com/track/7EulRO07ZgchxqKUHb8Pvc
36,Havana,"Camila Cabello",1726717,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
37,"Remind Me to Forget",Kygo,1653761,https://open.spotify.com/track/6xTU6B6nFwKKTSZ9ySXS80
38,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","Sofia Reyes",1641127,https://open.spotify.com/track/4QtiVmuA88tPQiCOHZuQ5b
39,Photograph,"J. Cole",1592967,https://open.spotify.com/track/0bhnUFDQFCEHCBlsQfHnj5
40,Flames,"David Guetta",1573191,https://open.spotify.com/track/33IOhptvC2Qoy2UhjiHXLV
41,JAPAN,"Famous Dex",1551053,https://open.spotify.com/track/5PTG6rrL6EPFD9E2QMI2pl
42,"Let Me",ZAYN,1548071,https://open.spotify.com/track/7Fg342AJtNsIDdwCfX0paC
43,"Te Boté - Remix","Nio Garcia",1543398,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
44,"Mad Love","Sean Paul",1515544,https://open.spotify.com/track/3soOPBuMK8YMdWnV7xpEyf
45,"Playinwitme (feat. Kehlani)",KYLE,1506580,https://open.spotify.com/track/43cFjTTCD9Cni4aSL0sORz
46,"Be Careful","Cardi B",1494129,https://open.spotify.com/track/2Yl4OmDby9iitgNWZPwxkd
47,"Say Something","Justin Timberlake",1476867,https://open.spotify.com/track/1LhMopPAallLeaeNutqbgS
48,"Levels - Radio Edit",Avicii,1475939,https://open.spotify.com/track/5B03nSG8pLE48jh7kmasuL
49,"Waiting For Love",Avicii,1403697,https://open.spotify.com/track/6nsLzJfvp5OLd4mgqUJkpq
50,Delicate,"Taylor Swift",1398006,https://open.spotify.com/track/6NFyWDv5CjfwuzoCkw47Xf
51,"New Rules","Dua Lipa",1390609,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
52,Familiar,"Liam Payne",1370472,https://open.spotify.com/track/0Y4hwUppbGc8aIBmiTz30A
53,"Ric Flair Drip (& Metro Boomin)",Offset,1369399,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
