,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
56,"High Hopes","Panic! At The Disco",1014110,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
57,"Yes Indeed","Lil Baby",1008055,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
58,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,1006355,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
59,"I'm a Mess","Bebe Rexha",1004941,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
60,"Me Niego",Reik,998842,https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T
61,"lovely (with Khalid)","Billie Eilish",983556,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
62,"Don't Leave Me Alone (feat. Anne-Marie)","David Guetta",980602,https://open.spotify.com/track/2lYTJK94hb0fd1LQtb6Dhk
63,Havana,"Camila Cabello",971542,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
64,"La Player (Bandolera)","Zion & Lennox",945979,https://open.spotify.com/track/0VKkyBKCXyR99navhVRqcP
65,"WAKE UP","Travis Scott",941247,https://open.spotify.com/track/20MuVazoNMv6xjKPnRFOxG
66,CAROUSEL,"Travis Scott",938574,https://open.spotify.com/track/7KZ5MMVgBVox9ycroB2UrI
67,"Look Alive (feat. Drake)","BlocBoy JB",934289,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
68,"Cuando Te Besé","Becky G",930457,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy
69,IDGAF,"Dua Lipa",929934,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
70,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","Sofia Reyes",911032,https://open.spotify.com/track/4QtiVmuA88tPQiCOHZuQ5b
71,Natural,"Imagine Dragons",895113,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
