,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,SAD!,XXXTENTACION,4961099,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
2,"Girls Like You (feat. Cardi B)","Maroon 5",3930878,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
3,"Lucid Dreams","Juice WRLD",3929247,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc
4,"Better Now","Post Malone",3816860,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
5,"I Like It","Cardi B",3798502,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
6,"One Kiss (with Dua Lipa)","Calvin Harris",3725950,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
7,Moonlight,XXXTENTACION,3607722,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
8,"Solo (feat. Demi Lovato)","Clean Bandit",3360752,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
9,"Jocelyn Flores",XXXTENTACION,3237031,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
10,"Back To You","Selena Gomez",3106035,https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9
11,changes,XXXTENTACION,3027361,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
12,"no tears left to cry","Ariana Grande",2972641,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
13,Youngblood,"5 Seconds of Summer",2905442,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
14,"Taste (feat. Offset)",Tyga,2833724,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
15,"Jackie Chan",Tiësto,2644198,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
16,"Ocean (feat. Khalid)","Martin Garrix",2495493,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
17,"Te Boté - Remix","Nio Garcia",2466632,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
18,"Nice For What",Drake,2390975,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
19,X,"Nicky Jam",2306502,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
20,"God's Plan",Drake,2237397,https://open.spotify.com/track/6T8cJz5lAqGer9GUHGyelE
21,"Bed (feat. Ariana Grande)","Nicki Minaj",2192363,https://open.spotify.com/track/1ZEm9cJC05rawV2tptNfTS
22,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,2141635,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
23,"Psycho (feat. Ty Dolla $ign)","Post Malone",2068224,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
24,"Born To Be Yours",Kygo,2045923,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
25,"Sin Pijama","Becky G",1966047,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
26,Flames,"David Guetta",1961382,https://open.spotify.com/track/33IOhptvC2Qoy2UhjiHXLV
27,Nevermind,"Dennis Lloyd",1888110,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
28,"All Mine","Kanye West",1829975,https://open.spotify.com/track/3qnoOm4fwZPBS116f5hpgF
29,Rise,"Jonas Blue",1825812,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
30,2002,Anne-Marie,1816382,https://open.spotify.com/track/6SFStUDQZNaGPKWOx9ZiJB
31,"Everybody Dies In Their Nightmares",XXXTENTACION,1810238,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
32,FRIENDS,Marshmello,1810160,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
33,"rockstar (feat. 21 Savage)","Post Malone",1789847,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
34,"I'm Upset",Drake,1776287,https://open.spotify.com/track/54oMZ3blwWwuPN4wEoG5mk
35,"the remedy for a broken heart (why am I so in love)",XXXTENTACION,1717592,https://open.spotify.com/track/4UKCKdYiLN6IMA5ZESUTL7
36,"lovely (with Khalid)","Billie Eilish",1705136,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
37,"Yes Indeed","Lil Baby",1675478,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
38,"Praise The Lord (Da Shine)","A$AP Rocky",1639850,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
39,"Start Again (feat. Logic)",OneRepublic,1595354,https://open.spotify.com/track/1Nj2oBISdFDSF8eDuXcALz
40,"The Middle",Zedd,1577795,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
41,"Look Alive (feat. Drake)","BlocBoy JB",1573682,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
42,"Look At Me!",XXXTENTACION,1467911,https://open.spotify.com/track/6eYxmK9fdL4hwLnXG2zY3s
43,IDGAF,"Dua Lipa",1455974,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
44,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,1423305,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
45,"Me Niego",Reik,1406336,https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T
46,"This Is America","Childish Gambino",1396649,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
47,"All Girls Are The Same","Juice WRLD",1358457,https://open.spotify.com/track/3H2JThgdBxezwj1wwafQS8
48,OTW,Khalid,1356442,https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI
49,APESHIT,"The Carters",1287622,https://open.spotify.com/track/0E6PsO3ymCfUh7pJQjBgkj
