,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Lucid Dreams","Juice WRLD",1897608,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc
2,"Better Now","Post Malone",1477207,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
3,"Nice For What",Drake,1397905,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
4,"Yes Indeed","Lil Baby",1351267,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
5,"All Mine","Kanye West",1313699,https://open.spotify.com/track/3qnoOm4fwZPBS116f5hpgF
6,"I Like It","Cardi B",1306823,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
7,"Girls Like You (feat. Cardi B)","Maroon 5",1183514,https://open.spotify.com/track/6FRLCMO5TUHTexlWo8ym1W
8,Reborn,"KIDS SEE GHOSTS",1122054,https://open.spotify.com/track/4RVbK6cV0VqWdpCDcx3hiT
9,"I'm Upset",Drake,1091850,https://open.spotify.com/track/54oMZ3blwWwuPN4wEoG5mk
10,"Psycho (feat. Ty Dolla $ign)","Post Malone",1082540,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
11,"God's Plan",Drake,969418,https://open.spotify.com/track/6T8cJz5lAqGer9GUHGyelE
12,"Taste (feat. Offset)",Tyga,959173,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
13,"Look Alive (feat. Drake)","BlocBoy JB",911461,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
14,"This Is America","Childish Gambino",875942,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
15,"Back To You","Selena Gomez",853868,https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9
16,"All Girls Are The Same","Juice WRLD",827929,https://open.spotify.com/track/3H2JThgdBxezwj1wwafQS8
17,"no tears left to cry","Ariana Grande",785259,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
18,"rockstar (feat. 21 Savage)","Post Malone",771721,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
19,Yikes,"Kanye West",752915,https://open.spotify.com/track/2r4JRwcbIeuAzWjH4YXlLs
20,"Praise The Lord (Da Shine)","A$AP Rocky",740824,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
21,"Ghost Town","Kanye West",734962,https://open.spotify.com/track/6Bg7MznA9X0dIhlAsLyBYj
22,"lovely (with Khalid)","Billie Eilish",733203,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
23,SAD!,XXXTENTACION,728051,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
24,Youngblood,"5 Seconds of Summer",717762,https://open.spotify.com/track/55S2PQgSMYAhgoTCcGCDfw
25,"Plug Walk","Rich The Kid",709472,https://open.spotify.com/track/6mAz8D1TmlTuef90dbNIiZ
26,"Ball For Me (feat. Nicki Minaj)","Post Malone",661045,https://open.spotify.com/track/6IaieqiCVvsNvEt6Y7yOFa
27,"4th Dimension","KIDS SEE GHOSTS",660818,https://open.spotify.com/track/6JyEh4kl9DLwmSAoNDRn5b
28,"Ric Flair Drip (& Metro Boomin)",Offset,650494,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
29,"Love Lies (with Normani)",Khalid,622465,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
30,"Feel The Love","KIDS SEE GHOSTS",621600,https://open.spotify.com/track/3aUFrxO1B8EW63QchEl3wX
31,"Playinwitme (feat. Kehlani)",KYLE,618306,https://open.spotify.com/track/4F1yvJfQ7gJkrcgFJQDjOr
